text,file_name,contextual_chunk
"The business district is concentrated along Liberty Avenue, with a variety of businesses and services. In addition to the two churches and Western Pennsylvania Hospital, the street has many restaurants and bars, a supermarket and italian market, tanning and hair salons, gift and card shops, gyms, two barber shops, a cobbler, a smoke shop, a vacuum repairman, and more. A small park beside the Bloomfield Bridge holds public bocce courts, a playground, a softball field, a skateboarding area, and a dek hockey rink.",Bloomfield (Pittsburgh),"The document describes the business district along Liberty Avenue in Pittsburgh, including various establishments and amenities."
"Baltimore Colts' Hall of Fame quarterback, Pittsburgh native Johnny Unitas returned to this neighborhood to play. After being cut by the Pittsburgh Steelers in 1955, Unitas played one season for the semipro Bloomfield Rams on Dean's Field, located under the Bloomfield Bridge. The semipro league has long since folded, and the Bloomfield Rams no longer exist. The former Dean's Field was renamed as Officer Paul J. Sciullo Memorial Field, after a policeman killed in duty. It is now part of a public recreational complex.",Bloomfield (Pittsburgh),Johnny Unitas played football in Baltimore in 1955 before the semipro Bloomfield Rams team.
"Randy Gilson was born in Homestead, Pennsylvania. Early in life he suffered from homelessness and poverty. He moved to Pittsburgh's Northside in 1982, where he was a community activist, planting over 800 street gardens and 50 vegetable gardens.  His guerrilla gardening planted vacant lots in Manchester, the Mexican War Streets, and surrounding neighborhoods.
He bought the property that would become Randyland on a credit card for $10,000 in 1995. Using upcycling, Gilson decorates his home with items such as mannequins, plastic dinosaurs and pink flamingos. The fences display murals with neighbors dancing and smiling.
In late 2016, Gilson's partner David Paul Francis ""Mac"" McDermott was diagnosed with terminal prostate cancer. Upon hearing the news, Randyland fans raised over $20,000 and sent Gilson and McDermott on their first vacation. The couple visited the Grand Canyon and Hollywood. Afterwards, Gilson retired from his restaurant job to spend more time with the ailing McDermott. Following the announcement, Foo Conner joined Randyland as co-director.
The neighborhood around the museum experienced explosive growth in 2016-2019. Randyland itself reportedly doubled in attendance. The courtyard was overhauled to accommodate the traffic. Under Conner's curation, the facility embraced being a selfie museum as a vibrant backdrop for photos.
McDermott died on January 10, 2019. As Gilson's partner, he was posthumously given the title of co-founder. Journalists noted that McDermott may have downplayed his role when alive but was a backbone of the museum. Later that year, Randyland received the Mayor's Award for Public Art for 2019. Conner left the museum early 2020.
Because it is outdoors, Randyland was one of the only art museums open in Pennsylvania during the COVID-19 pandemic. Gilson came out of retirement. The Courtyard was changed to a socially distanced playground throughout quarantine. Many of the original murals have been painted over. 
As of 2022, Randyland is still a free and popular tourist attraction.",Randyland,"Randy Gilson, a homeless man who became a community activist and entrepreneur, transformed vacant lots into vibrant public spaces through guerrilla gardening and art installations, eventually founding the popular art museum Randyland."
"The documentary The Spirit of Pittsburgh features Randy Gilson's gardening alongside Fred Rogers.
The documentary Pursuing Happiness features Randy Gilson as one of the happiest people in America.
When a blizzard postponed Guster's Pittsburgh concert, they instead recorded a viral music video in the alleyway near Randyland.
Randy Gilson succeeded Rick Sebak as the Mardi Gras King of Pittsburgh.
A teenager's ""Summer Bucket List 2017"", which included Randyland as a place to visit, went viral.
Anthony Bourdain: Parts Unknown calls Randyland an essential for the ""Perfect Day in Pittsburgh"".
The popular travel show Rediscovering America presented by Barstool Sports interviewed Randy Gilson at Randyland in their 2022 episode about Pittsburgh.",Randyland,The documentary series featuring Randy Gilson in Pittsburgh.
Mayor's Award for Public Art 2019,Randyland,The Mayor's Award for Public Art 2019 recognizes outstanding public art projects.
"Pittsburgh was named in 1758, by General John Forbes, in honor of British statesman William Pitt, 1st Earl of Chatham. As Forbes was a Scotsman, he probably pronounced the name  PITS-bər-ə (similar to Edinburgh).
Pittsburgh was incorporated as a borough on April 22, 1794, with the following Act:
""Be it enacted by the Pennsylvania State Senate and Pennsylvania House of Representatives of the Commonwealth of Pennsylvania ... by the authority of the same, that the said town of Pittsburgh shall be ... erected into a borough, which shall be called the borough of Pittsburgh for ever.""
From 1891 to 1911, the city's name was federally recognized as ""Pittsburg"", though use of the final h was retained during this period by the city government and other local organizations. After a public campaign, the federal decision to drop the h was reversed. The Pittsburg Press continued spelling the city without an h until 1921.",Pittsburgh,"Pittsburgh was named after British statesman William Pitt, and its name has undergone changes over time."
"The area of the Ohio headwaters was long inhabited by the Shawnee and several other settled groups of Native Americans. Shannopin's Town was an 18th-century Lenape (Delaware) town located roughly from where Penn Avenue is today, below the mouth of Two Mile Run, from 30th Street to 39th Street. According to George Croghan, the town was situated on the south bank of the Allegheny, nearly opposite what is now known as Washington's Landing, formerly Herr's Island, in what is now the Lawrenceville neighborhood.: 289",Pittsburgh,"Shannopin's Town was an 18th-century Lenape (Delaware) settlement located near present-day Washington's Landing, Lawrenceville, Ohio."
"The first known European to enter the region was the French explorer Robert de La Salle from Quebec during his 1669 expedition down the Ohio River. European pioneers, primarily Dutch, followed in the early 18th century. Michael Bezallion was the first to describe the forks of the Ohio in a 1717 manuscript, and later that year European fur traders established area posts and settlements.
In 1749, French soldiers from Quebec launched an expedition to the forks to unite Canada with French Louisiana via the rivers. During 1753–1754, the British hastily built Fort Prince George before a larger French force drove them off. The French built Fort Duquesne based on LaSalle's 1669 claims. The French and Indian War, the North American front of the Seven Years' War, began with the future Pittsburgh as its center. British General Edward Braddock was dispatched with Major George Washington as his aide to take Fort Duquesne. The British and colonial force were defeated at Braddock's Field. General John Forbes finally took the forks in 1758. He began construction on Fort Pitt, named after William Pitt the Elder, while the settlement was named ""Pittsborough"".
During Pontiac's War, a loose confederation of Native American tribes laid siege to Fort Pitt in 1763; the siege was eventually lifted after Colonel Henry Bouquet defeated a portion of the besieging force at the Battle of Bushy Run. Bouquet strengthened the defenses of Fort Pitt the next year.
During this period, the powerful nations of the Iroquois Confederacy, based in New York, had maintained control of much of the Ohio Valley as hunting grounds by right of conquest after defeating other tribes. By the terms of the 1768 Treaty of Fort Stanwix, the Penns were allowed to purchase the modern region from the Iroquois. A 1769 survey referenced the future city as the ""Manor of Pittsburgh"". Both the Colony of Virginia and the Province of Pennsylvania claimed the region under their colonial charters until 1780, when they agreed under a federal initiative to extend the Mason–Dixon line westward, placing Pittsburgh in Pennsylvania. On March 8, 1771, Bedford County, Pennsylvania was created to govern the frontier.
On April 16, 1771, the city's first civilian local government was created as Pitt Township. William Teagarden was the first constable, and William Troop was the first clerk.
Following the American Revolution, the village of Pittsburgh continued to grow. One of its earliest industries was boat building for settlers of the Ohio Country. In 1784, Thomas Vickroy completed a town plan which was approved by the Penn family attorney. Pittsburgh became a possession of Pennsylvania in 1785. The following year, the Pittsburgh Post-Gazette was started, and in 1787, the Pittsburgh Academy was chartered. Unrest during the Whiskey Rebellion of 1794 resulted in federal troops being sent to the area. By 1797, glass manufacture began, while the population grew to around 1,400. Settlers arrived after crossing the Appalachian Mountains or through the Great Lakes. Fort Pitt (now Pittsburgh) at the source of the Ohio River became the main base for settlers moving into the Northwest Territory.",Pittsburgh,"The document provides a comprehensive overview of the history of Pittsburgh, including its founding by European explorers, the French and Indian War, Pontiac's War, and the growth of the city during the American Revolution and beyond."
"The federal government recognizes Pittsburgh as the starting point for the Lewis and Clark Expedition. Preparations began in Pittsburgh in 1803 when Meriwether Lewis purchased a keelboat that would later be used to ascend the Missouri River.
The War of 1812 cut off the supply of British goods, stimulating American industry. By 1815, Pittsburgh was producing significant quantities of iron, brass, tin, and glass. On March 18, 1816, the 46-year-old local government became a city. It was served by numerous river steamboats that increased trading traffic on the rivers.
In the 1830s, many Welsh people from the Merthyr steelworks immigrated to the city following the aftermath of the Merthyr Rising. By the 1840s, Pittsburgh was one of the largest cities west of the Allegheny Mountains. The Great Fire of Pittsburgh destroyed over a thousand buildings in 1845. The city rebuilt with the aid of Irish immigrants who came to escape the Great Famine. By 1857, Pittsburgh's 1,000 factories were consuming 22 million coal bushels yearly. Coal mining and iron manufacturing attracted waves of European immigrants to the area, with the most coming from Germany.
Because Pennsylvania had been established as a free state after the Revolution, enslaved African Americans sought freedom here through escape as refugees from the South, or occasionally fleeing from travelers they were serving who stayed in the city. There were active stations of the Underground Railroad in the city, and numerous refugees were documented as getting help from station agents and African-American workers in city hotels. The Drennen Slave Girl walked out of the Monongahela House in 1850, apparently to freedom. The Merchant's Hotel was also a place where African-American workers would advise slaves the state was free and aid them in getting to nearby stations of the Underground Railroad. Sometimes refugee slaves from the South stayed in Pittsburgh, but other times they continued North, including into Canada. Many slaves left the city and county for Canada after Congress passed the 1850 Fugitive Slave Act, as it required cooperation from law enforcement even in free states and increased penalties. From 1850 to 1860, the black population in Allegheny County dropped from 3,431 to 2,725 as people headed to more safety in Canada.
The American Civil War boosted the city's economy with increased iron and armament demand by the Union. Andrew Carnegie began steel production in 1875 at the Edgar Thomson Steel Works in North Braddock, Pennsylvania, which evolved into the Carnegie Steel Company. He adopted the Bessemer process to increase production. Manufacturing was key to growth of Pittsburgh and the surrounding region. Railroad lines were built into the city along both rivers, increasing transportation access to important markets.",Pittsburgh,"The document discusses the history of Pittsburgh, including its role as the starting point for the Lewis and Clark Expedition, its industrial growth during the War of 1812, its development as a city in the 19th century, and the impact of the American Civil War on the city's economy and population."
"In 1901, J. P. Morgan and attorney Elbert H. Gary merged Carnegie Steel Company and several other companies into U.S. Steel. By 1910, Pittsburgh was the nation's eighth-largest city, accounting for between one-third and one-half of national steel output.
The Pittsburgh Agreement was subscribed in May 1918 between the Czech and Slovak nationalities, as envisioned by T. G. Masaryk, concerning the future foundation of Czechoslovakia.
The city suffered severe flooding in March 1936.
The city's population swelled to more than a half million, attracting numerous European immigrants to its industrial jobs. By 1940, non-Hispanic whites were 90.6% of the city's population. Pittsburgh also became a main destination of the African-American Great Migration from the rural South during the first half of the 20th century. Limited initially by discrimination, some 95% percent of the men became unskilled steel workers.
During World War II, demand for steel increased and area mills operated 24 hours a day to produce 95 million tons of steel for the war effort. This resulted in the highest levels of air pollution in the city's almost century of industry. The city's reputation as the ""arsenal of democracy"" was being overshadowed by James Parton's 1868 observation of Pittsburgh being ""hell with the lid off.""
Following World War II, the city launched a clean air and civic revitalization project known as the ""Renaissance,"" cleaning up the air and the rivers. The ""Renaissance II"" project followed in 1977, focused on cultural and neighborhood development. The industrial base continued to expand through the 1970s, but beginning in the early 1980s both the area's steel and electronics industries imploded during national industrial restructuring. There were massive layoffs from mill and plant closures.
In the later 20th century, the area shifted its economic base to education, tourism, and services, largely based on healthcare/medicine, finance, and high technology such as robotics. Although Pittsburgh successfully shifted its economy and remained viable, the city's population has never rebounded to its industrial-era highs. While 680,000 people lived in the city proper in 1950, a combination of suburbanization and economic turbulence resulted in a decrease in city population, even as the metropolitan area population increased again.",Pittsburgh,"Pittsburgh experienced significant industrial growth and expansion in the early 20th century, leading to a boom in population and economic activity. However, the city faced challenges such as flooding, pollution, and economic decline in the latter half of the century, ultimately shifting its focus towards education, tourism, and services."
"During the late 2000s recession, Pittsburgh was economically strong, adding jobs when most cities were losing them. It was one of the few cities in the United States to see housing property values rise. Between 2006 and 2011, the Pittsburgh metropolitan statistical area (MSA) experienced over 10% appreciation in housing prices, the highest appreciation of the largest 25 metropolitan statistical areas in the United States, with 22 of the largest 25 metropolitan statistical areas experiencing depreciations in housing values.
In September 2009, the 2009 G20 Pittsburgh summit was held in Pittsburgh.",Pittsburgh,"Pittsburgh experienced economic growth during the late 2000s recession, with housing prices appreciating significantly compared to other cities."
"Downtown Pittsburgh has 30 skyscrapers, nine of which top 500 feet (150 m). The U.S. Steel Tower is the tallest, at 841 ft (256 m). The Cultural District consists of a 14-block area of downtown along the Allegheny River. This district contains many theaters and arts venues and is home to a growing residential segment. Most significantly, the Pittsburgh Cultural Trust is embarking on RiverParc, a four-block mixed-use ""green"" community, featuring 700 residential units and multiple towers of between 20 and 30 stories. The Firstside portion of Downtown borders the Monongahela River, the historic Mon Wharf and hosts the distinctive PPG Place Gothic-style glass skyscraper complex. New condo towers have been constructed and historic office towers are converted to residential use, increasing 24-hour residents. Downtown is served by the Port Authority's light rail system and multiple bridges leading north and south. It is also home to Point Park University and Duquesne University which borders Uptown.",Pittsburgh,"Downtown Pittsburgh, with its 30 skyscrapers, including the U.S. Steel Tower at 841 ft, is undergoing development with the Pittsburgh Cultural Trust's RiverParc project and new residential developments, while also serving as a hub for transportation and education."
"The North Side is home to various neighborhoods in transition. The area was once known as Allegheny City and operated as its own independent city until 1907, when it was merged with Pittsburgh despite great protest from its citizens. The North Side is primarily composed of residential neighborhoods and is noteworthy for its well-constructed and architecturally interesting homes. Many buildings date from the 19th century and are constructed of brick or stone and adorned with decorative woodwork, ceramic tile, slate roofs and stained glass. The North Side is also home to attractions such as Acrisure Stadium, PNC Park, Kamin Science Center, National Aviary, Andy Warhol Museum, Mattress Factory art museum, Children's Museum of Pittsburgh, Randyland, Penn Brewery, Allegheny Observatory, and Allegheny General Hospital.",Pittsburgh,"The North Side is a diverse neighborhood in Pittsburgh, featuring historic homes, attractions, and a mix of residential and commercial areas."
"The South Side was once the site of railyards and associated dense, inexpensive housing for mill and railroad workers. Starting in the late 20th century, the city undertook a Main Street program in cooperation with the National Trust for Historic Preservation, encouraging design and landscape improvements on East Carson Street, and supporting new retail. The area has become a local Pittsburgher destination, and the value of homes in the South Side had increased in value by about 10% annually for the 10 years leading up to 2014.  East Carson Street has developed as one of the most vibrant areas of the city, packed with diverse shopping, ethnic eateries, vibrant nightlife, and live music venues.
In 1993, the Urban Redevelopment Authority of Pittsburgh purchased the South Side Works steel mill property. It collaborated with the community and various developers to create a master plan for a mixed-use development that included a riverfront park, office space, housing, health-care facilities, and indoor practice fields for the Pittsburgh Steelers and Pitt Panthers. Construction of the development began in 1998. The SouthSide Works has been open since 2005, featuring many stores, restaurants, offices, and the world headquarters for American Eagle Outfitters.",Pittsburgh,"The South Side, once a site of railyards and dense, inexpensive housing, has undergone significant revitalization through the Main Street program and development of mixed-use projects, including the SouthSide Works steel mill property, which opened in 2005 and features a variety of retail, office, and healthcare facilities."
"The East End of Pittsburgh is home to the University of Pittsburgh, Carnegie Mellon University, Carlow University, Chatham University, The Carnegie Institute's Museums of Art and Natural History, Phipps Conservatory, and Soldiers and Sailors Memorial Hall. It is also home to many parks and public spaces including Mellon Park, Westinghouse Park, Schenley Park, Frick Park, The Frick Pittsburgh, Bakery Square, and the Pittsburgh Zoo and PPG Aquarium. The neighborhoods of Shadyside and Squirrel Hill are large, wealthy neighborhoods with some apartments and condos, and pedestrian-oriented shopping/business districts. Squirrel Hill is also known as the hub of Jewish life in Pittsburgh, home to approximately 20 synagogues. Oakland, heavily populated by undergraduate and graduate students, is home to most of the universities, and the Petersen Events Center. The Strip District to the west along the Allegheny River is an open-air marketplace by day and a clubbing destination by night. Bloomfield is Pittsburgh's Little Italy and is known for its Italian restaurants and grocers. Lawrenceville is a revitalizing rowhouse neighborhood popular with artists and designers. The Hill District was home to photographer Charles Harris as well as various African-American jazz clubs. Other East End neighborhoods include Point Breeze, Regent Square, Highland Park, Homewood, Lincoln-Lemington-Belmar, Larimer, East Hills, East Liberty, Polish Hill, Hazelwood, Garfield, Morningside, and Stanton Heights.",Pittsburgh,"The East End of Pittsburgh is a diverse area with numerous educational institutions, cultural attractions, and residential neighborhoods, including universities, museums, parks, and historic sites."
"The West End includes Mt. Washington, with its famous view of the downtown skyline, and numerous other residential neighborhoods such as Sheraden and Elliott.",Pittsburgh,The West End features Mt. Washington and several residential areas like Sheraden and Elliott.
"Many of Pittsburgh's patchwork of neighborhoods still retain ethnic characters reflecting the city's settlement history. These include:

German: Troy Hill, Mt. Washington, and East Allegheny (Deutschtown)
Italian: Brookline, Bloomfield, Morningside, Oakland
Hispanic/Latino: Beechview/Brookline
Polish, Austrian, Belgian, Czech, Slovak, German, Greek, Hungarian, Luxembourgish, Dutch, Romanian, Swiss, Slovenia and the northern marginal regions of Italy, Croatian, as well as northeastern France, Central European: South Side, Lawrenceville, and Polish Hill
Lithuanian: South Side, Uptown
African American/Multiracial African American: Hill District, Homewood, Lincoln-Lemington-Belmar, Larimer, East Hills, and Hazelwood
Jewish (Ashkenazi): Squirrel Hill
Irish: Mt. Washington, Carrick, Greenfield
Ukrainian (Ruthenian): South Side",Pittsburgh,Pittsburgh's neighborhoods reflect its diverse ethnic history through various ethnic groups.
"Several neighborhoods on the edges of the city are less urban, featuring tree-lined streets, yards and garages, with a more suburban character. Oakland, the South Side, the North Side, and the Golden Triangle are characterized by more density of housing, walking neighborhoods, and a more diverse, urban feel.",Pittsburgh,"Neighborhoods in the city vary in their urban density and character, with some featuring tree-lined streets and yards, while others are denser with walking neighborhoods and a more diverse urban feel."
