text,contextual_chunk
"{'event_name': 'Dandy Andy: Warhol’s Queer History', 'date': 'Oct 26, 2024', 'description': 'Arts + Culture Dandy Andy: Warhol’s Queer History  Join artist educators for Dandy Andy, a monthly tour that focuses on Warhol’s queer history. READ MORE', 'time': '3:00 pm - 6:00 pm'}",Monthly tour focusing on Warhol's queer history led by artist educators.
"{'event_name': 'Bikes & Brews Tour', 'date': 'Oct 26, 2024', 'description': 'Outdoor, Tours Bikes & Brews Tour  Join us on a ride around the historic districts of Deutschtown, Millvale, and Lawrenceville as we visit 4 of our favorite local breweries and learn about the past, present, and future of beer making in Pittsburgh, with an emphasis on how beer figures in the diverse communities of the Steel City. READ MORE', 'time': '2:00 pm - 5:30 pm'}","Bikes & Brews Tour is an outdoor event that takes place on October 26, 2024, featuring a ride around historic districts of Pittsburgh, visiting 4 local breweries to learn about beer history and its impact on the city's diverse communities."
"{'event_name': 'Black & Gold Tour', 'date': 'Oct 26, 2024', 'description': 'Tours Black & Gold Tour  Hop aboard and see the Steel City like never before on this one-of-a-kind, tailgate style tour… only in THE BURGH! READ MORE', 'time': '12:00 pm - 1:30 pm'}","Black & Gold Tour is a tailgate-style tour of Pittsburgh, scheduled for October 26, 2024, from 12:00 pm to 1:30 pm."
"{'event_name': 'Harry Potter and the Order of the Phoenix™ in Concert', 'date': 'Oct 26, 2024', 'description': 'Entertainment, Film & Movies, Music Harry Potter and the Order of the Phoenix™ in Concert  Experience your favorite movies transformed with the music of a live symphony orchestra in the Harry Potter™ Film Concert Series.? READ MORE', 'time': '7:00 pm - 11:00 pm'}",Harry Potter and the Order of the Phoenix™ in Concert is an entertainment event featuring live symphony orchestra music from the Harry Potter film series.
"{'event_name': 'Peter Pan', 'date': 'Oct 26, 2024', 'description': 'Arts + Culture, Entertainment Peter Pan  Escape to Neverland for a daring adventure with Wendy, John, Michael, Tinkerbell and Peter in the ever-playful Peter Pan. Showtimes are at 2 pm and 7:30 pm! READ MORE'}","Peter Pan is an entertainment event featuring a play about Peter Pan and his friends, with showtimes at 2 pm and 7:30 pm."
"{'event_name': 'Peter Pan', 'date': 'Oct 26, 2024', 'description': 'Escape to Neverland for a daring adventure with Wendy, John, Michael, Tinkerbell and Peter in the ever-playful Peter Pan. Showtimes are at 2 pm and 7:30 pm!'}","Peter Pan is an adventure show featuring characters from the story, including Wendy, John, Michael, Tinkerbell, and Peter, with showtimes at 2 pm and 7:30 pm."
"{'date': 'Oct 27, 2024 | 2:00 pm - 5:00 pm', 'description': 'Escape to Neverland for a daring adventure with Wendy, John, Michael, Tinkerbell and Peter in the ever-playful Peter Pan.', 'category': 'Arts + Culture,, Entertainment', 'venue': 'Benedum Center 7th St and Penn Ave Pittsburgh, PA 15222', 'more_details': 'Escape to Neverland for a daring adventure with Wendy, John, Michael, Tinkerbell and Peter in the ever-playful Peter Pan. This new interpretation of the classic tale is told through the eyes of a child, and includes spectacular flying, swashbuckling sword fights, giant puppets, costumes inspired by punk fashion and, of course, a little pixie dust! A Pittsburgh premiere, this magical ballet is sure to mesmerize audiences of all ages. Choreography: Trey McIntyre | Music: Edward Elgar, arranged by Niel DePonte Flying Effects provided by ZFX', 'event_name': 'Peter Pan'}","Peter Pan, a new ballet adaptation featuring Wendy, John, Michael, Tinkerbell, and Peter, tells the classic tale through a child's perspective with flying, sword fights, giant puppets, and pixie dust, directed by Trey McIntyre and choreographed by Niel DePonte, performed by ZFX flying effects, and set to Edward Elgar's music, with a Pittsburgh premiere."
"{'date': 'Oct 25, 2024 | 7:30 pm - 10:30 pm', 'description': 'Escape to Neverland for a daring adventure with Wendy, John, Michael, Tinkerbell and Peter in the ever-playful Peter Pan.', 'category': 'Arts + Culture,, Entertainment', 'venue': 'Benedum Center 7th St and Penn Ave Pittsburgh, PA 15222', 'more_details': 'Escape to Neverland for a daring adventure with Wendy, John, Michael, Tinkerbell and Peter in the ever-playfulÂ Peter Pan . This new interpretation of the classic tale is told through the eyes of a child, and includes spectacular flying, swashbuckling sword fights, giant puppets, costumes inspired by punk fashion and, of course, a little pixie dust! A Pittsburgh premiere, this magical ballet is sure to mesmerize audiences of all ages. Choreography: Trey McIntyre | Music: Edward Elgar, arranged by Niel DePonte Flying Effects provided by ZFX', 'event_name': 'Peter Pan'}","Peter Pan, a new ballet adaptation featuring Wendy, John, Michael, Tinkerbell, and Peter, tells the classic tale through a child's perspective with flying, sword fights, giant puppets, and pixie dust, directed by Trey McIntyre and choreographed by Niel DePonte, performed by ZFX flying effects, and set to Edward Elgar's music, premiering at the Benedum Center in Pittsburgh."
"{'event_name': 'Taekwondo 2024 Fall Nationals', 'description': 'Convention, Sports + Recreation Taekwondo 2024 Fall Nationals  The American Taekwondo Association (ATA) is excited be in Pittsburgh for the 2024 Fall Nationals, Oct. 23-26 at the David L. Lawrence Convention Center. This is the third consecutive year ATA has held this event in Pittsburgh! READ MORE', 'date': 'Oct 23, 2024 - Oct 26, 2024'}",The American Taekwondo Association will hold the 2024 Fall Nationals in Pittsburgh from October 23 to 26.
"{'date': 'Oct 23, 2024 - Oct 26, 2024', 'description': 'The American Taekwondo Association (ATA) is excited be in Pittsburgh for the 2024 Fall Nationals, Oct. 23-26 at the David L. Lawrence Convention Center. This is the third consecutive year ATA has held this event in Pittsburgh!', 'category': 'Convention,, Sports + Recreation', 'venue': 'David L. Lawrence Convention Center & The Westin Pittsburgh', 'more_details': 'The American Taekwondo Association (ATA) is excited be in Pittsburgh for the 2024 Fall Nationals, Oct. 23-26 at the David L. Lawrence Convention Center. This is the third consecutive year ATA has held this event in Pittsburgh! ATA aims to develop martial arts skills, self-defense, physical fitness, and character growth in students through a fun and educational environment. All ages, ranks and divisions are welcomed. For a detailed event schedule, please clickÂ here . Attendees will be traveling in groups to hotels and dining establishments. Restaurants Downtown should be prepared to see an increase in foot traffic as competition concludes on Thursday through Saturday. ATA aims to develop martial arts skills, self-defense, physical fitness, and character growth in students through a fun and educational environment. All ages, ranks and divisions are welcomed. For a detailed event schedule, please clickÂ here . Attendees will be traveling in groups to hotels and dining establishments. Restaurants Downtown should be prepared to see an increase in foot traffic as competition concludes on Thursday through Saturday. For a detailed event schedule, please clickÂ here . Attendees will be traveling in groups to hotels and dining establishments. Restaurants Downtown should be prepared to see an increase in foot traffic as competition concludes on Thursday through Saturday. Attendees will be traveling in groups to hotels and dining establishments. Restaurants Downtown should be prepared to see an increase in foot traffic as competition concludes on Thursday through Saturday.', 'event_name': 'Taekwondo 2024 Fall Nationals'}","The American Taekwondo Association (ATA) is hosting the 2024 Fall Nationals in Pittsburgh, featuring martial arts, self-defense, physical fitness, and character development."
"{'event_name': 'Pittsburgh Riverhounds SC vs. El Paso Locomotive', 'date': 'Oct 26, 2024', 'description': 'Sports + Recreation Pittsburgh Riverhounds SC vs. El Paso Locomotive  Come cheer on the Pittsburgh Riverhounds as they take on El Paso Locomotive! READ MORE', 'time': '7:00 pm - 10:00 pm'}","Sports game between Pittsburgh Riverhounds SC and El Paso Locomotive scheduled for October 26, 2024, starting at 7:00 pm."
"{'event_name': 'Beta Stage', 'date': 'Oct 26, 2024', 'description': 'Entertainment Beta Stage  Join us monthly as we showcase new and experimental acts, returning teams, and new ideas by familiar favorites! See the Arcade shows of tomorrow TODAY* READ MORE', 'time': '6:00 pm - 8:00 pm'}","Entertainment Beta Stage event showcases new acts, returning teams, and ideas from familiar favorites."
"{'event_name': 'Knights of the Arcade: Epic D&D Adventure', 'date': 'Oct 26, 2024', 'description': 'Entertainment Knights of the Arcade: Epic D&D Adventure  Join Knights of the Arcade on Saturday, August 31, at 9 PM for another hilarious D&D comedy adventure! One of Pittsburgh’s longest running and best-selling comedy shows! A recurring cast of characters are joined by special guests and led by their maniacal dungeon master. Where they’re going, who they fight, and if they ultimately succeed is decided upon live dice that are rolled and projected on the theater wall. READ MORE', 'time': '9:00 pm - 11:00 pm'}","Entertainment event featuring a D&D comedy show with recurring cast and special guests, live dice rolling, and projections on the theater wall."
"{'event_name': 'Mike Super - Magic & Illusion', 'date': 'Oct 26, 2024', 'description': 'Entertainment Mike Super - Magic & Illusion  Experience the Magic & Illusion of Mike Super LIVE on Stage! This is the perfect evening for your entire family! READ MORE', 'time': '7:00 pm - 8:30 pm'}","Entertainment event featuring Mike Super's magic and illusion show from Oct 26, 2024, at 7:00 pm to 8:30 pm."
"{'event_name': 'Halloween Fun Cruise', 'date': 'Oct 26, 2024', 'description': 'Holidays, Tours Halloween Fun Cruise  Boards: 10:00 a.m. and 1:00 p.m.; and Sails: 10:30 a.m - 12:30 p.m. and 1:30 - 3:30 p.m. - Come aboard a Pittsburgh sightseeing tour for a kids’ costume party with frightfully friendly characters, tons of fun prizes and more! Music, dancing and treat bags for all the kids. We can’t wait to see you all on board our riverboat in your favorite Halloween costume! READ MORE'}","Halloween Fun Cruise is a Pittsburgh sightseeing tour with a kids' costume party, featuring frightfully friendly characters, music, dancing, and treat bags."
"{'event_name': 'Halloween Fun Cruise', 'date': 'Oct 26, 2024', 'description': 'Boards: 10:00 a.m. and 1:00 p.m.; and Sails: 10:30 a.m - 12:30 p.m. and 1:30 - 3:30 p.m. - Come aboard a Pittsburgh sightseeing tour for a kids’ costume party with frightfully friendly characters, tons of fun prizes and more! Music, dancing and treat bags for all the kids. We can’t wait to see you all on board our riverboat in your favorite Halloween costume!'}","A Halloween-themed cruise with kids' costume party, featuring frightfully friendly characters, music, dancing, and treat bags."
"{'event_name': 'Boo N Brew Dance Cruise & Tour', 'date': 'Oct 26, 2024', 'description': 'Nightlife, Tours Boo N Brew Dance Cruise & Tour  Join us on the dock starting at 6:00 pm for free psychic and tarot card readings, prizes and mingle with your favorite BOB FM on air personalities. At 8 pm, the party hits the water with the band “Random Play” playing all your favorites hits – 96.9 BOB FM style! Don’t forget to wear your Halloween costumes for your chance to win great prizes including concert and event tickets, and a fantastic grand prize to be announced! READ MORE', 'time': '6:00 pm - 10:30 pm'}","A nighttime cruise with free psychic readings, prizes, and a chance to win concert tickets and grand prizes."
"{'event_name': 'Fitness Open House', 'date': 'Oct 26, 2024', 'description': 'Community, Sports + Recreation Fitness Open House  Join River Club for their 2nd Annual Fitness Open House! READ MORE', 'time': '10:00 am - 1:00 pm'}","Fitness Open House at River Club from 10:00 am to 1:00 pm on October 26, 2024."
"{'event_name': 'Lucky Draw', 'date': 'Oct 27, 2024', 'description': 'Entertainment Lucky Draw  Arcade Comedy Theater presents “Lucky Draw” an improv comedy show where half of the cast is drawn at random! READ MORE', 'time': '7:30 pm - 8:30 pm'}","Entertainment Lucky Draw, an improv comedy show featuring a randomly selected half of the cast, taking place at 7:30 pm - 8:30 pm."
"{'event_name': 'Faces of Resilience Workshops', 'description': 'Community, Workshops & Classes Faces of Resilience Workshops  Are you a survivor of gun violence, or do you know someone who is? Join us for Faces of Resilience, a transformative two-day workshop at the August Wilson African American Cultural Center, where you’ll create powerful masks to express your emotions, celebrate your loved ones, and honor your triumphs. READ MORE', 'date': 'Oct 26, 2024 - Oct 27, 2024'}","Two-day workshop at the August Wilson African American Cultural Center to create masks to express emotions, celebrate loved ones, and honor triumphs."
"{'date': 'Aug 3, 2024 - Aug 4, 2024', 'description': 'Are you a survivor of gun violence, or do you know someone who is? Join us for Faces of Resilience, a transformative two-day workshop at the August Wilson African American Cultural Center.', 'category': 'Community', 'venue': 'The August Wilson African American Cultural Center 980 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Are you a survivor of gun violence, or do you know someone who is? Join us for Faces of Resilience , a transformative two-day workshop at the August Wilson African American Cultural Center, where you’ll create powerful masks to express your emotions, celebrate your loved ones, and honor your triumphs. These workshops are offered in partnership with Project Safe Storage and will be facilitated by Tia Baker and Dr. Lois Dabney-Smith. Workshops will be offered in August, September and October. Each workshop is a Saturday and Sunday and will be offered in August (3&4), September (14&15), and October (26&27) from 9am-5pm. The masks will be displayed during Community Day on December 14th, in conjunction with a panel discussion with Community Leaders in the violence prevention space. These workshops are designed for ages 18+. Why Two Days? ? In-Depth Healing: Healing takes time. Over two days, you’ll have the space to deeply explore and process your emotions, ensuring a more profound and lasting impact. ? Comprehensive Guidance: With extended sessions, our experienced art therapists can provide more thorough guidance, helping you unlock deeper levels of creativity and self-expression. ? Community Building: Two days allow for stronger connections to form within the group, creating a supportive community that understands and shares your journey. ? Reflect & Refine: The second day offers the opportunity to refine and complete your mask, process the weekend’s experiences, and close out with a special ceremony. What Will You Gain? ? Emotional Healing: Through guided mask-making, you’ll find a unique, non-verbal way to process and release deep-seated emotions, paving the way for profound healing. ? Celebrate Loved Ones: Use your art to honor the memories and legacies of those you cherish, creating a beautiful tribute to their impact on your life. ? Empowerment & Resilience: Transform your pain into powerful expressions of resilience, discovering new strengths and pathways to self-discovery and hope. How to Prepare? The masks you create will be actual molds of your face, offering a unique and personal touch to your artistic expression. We recommend that women attend without makeup and all participants wear comfortable clothes that you don’t mind getting paint on to ensure the best experience. Guided Art Sessions: Experienced art therapists will lead you through each step, helping you unlock your creativity and emotions. Supportive Community: Connect with fellow survivors in a safe, understanding environment, sharing, and reflecting on your journey together. Panel Discussion: At the end of the workshop series, some participants will have the opportunity to join community leaders in a panel discussion at the August Wilson Center to discuss the impact of the project and share their experiences. Meals Provided: Enjoy continental breakfast and lunch for both days, ensuring you’re nourished and focused on your healing journey. Special Ceremony: Conclude the workshop with a special ceremony to honor your journey, celebrate your resilience, and reflect on the weekend’s experiences. By the end of this weekend, you’ll leave with: A tangible, artistic expression of your journey and resilience. Newfound connections and support from a community of fellow survivors. The empowerment that comes from reclaiming your narrative and celebrating your loved ones. An opportunity to voice your story and impact the community through a panel discussion.', 'event_name': 'Faces of Resilience Workshops'}","Transformative two-day workshop at the August Wilson African American Cultural Center focusing on emotional healing, honoring loved ones, and empowering survivors through art therapy and community building."
"{'date': 'Oct 26, 2024 - Oct 27, 2024', 'description': 'Are you a survivor of gun violence, or do you know someone who is? Join us for Faces of Resilience, a transformative two-day workshop at the August Wilson African American Cultural Center, where you’ll create powerful masks to express your emotions, celebrate your loved ones, and honor your triumphs.', 'category': 'Community,, Workshops & Classes', 'venue': 'The August Wilson African American Cultural Center 980 Liberty Ave Pittsburgh, PA 15222', 'more_details': '  Are you a survivor of gun violence, or do you know someone who is? Join us for Faces of Resilience , a transformative two-day workshop at the August Wilson African American Cultural Center, where you’ll create powerful masks to express your emotions, celebrate your loved ones, and honor your triumphs. These workshops are offered in partnership with Project Safe Storage and will be facilitated by Tia Baker and Dr. Lois Dabney-Smith. Workshops will be offered in August, September and October. Each workshop is a Saturday and Sunday and will be offered in August (3&4), September (14&15), and October (26&27) from 9am-5pm. The masks will be displayed during Community Day on December 14th, in conjunction with a panel discussion with Community Leaders in the violence prevention space. Why Two Days? ? In-Depth Healing: Healing takes time. Over two days, you’ll have the space to deeply explore and process your emotions, ensuring a more profound and lasting impact. ? Comprehensive Guidance: With extended sessions, our experienced art therapists can provide more thorough guidance, helping you unlock deeper levels of creativity and self-expression. ? Community Building: Two days allow for stronger connections to form within the group, creating a supportive community that understands and shares your journey. ? Reflect & Refine: The second day offers the opportunity to refine and complete your mask, process the weekend’s experiences, and close out with a special ceremony. What Will You Gain? ? Emotional Healing: Through guided mask-making, you’ll find a unique, non-verbal way to process and release deep-seated emotions, paving the way for profound healing. ? Celebrate Loved Ones: Use your art to honor the memories and legacies of those you cherish, creating a beautiful tribute to their impact on your life. ? Empowerment & Resilience: Transform your pain into powerful expressions of resilience, discovering new strengths and pathways to self-discovery and hope. How to Prepare? The masks you create will be actual molds of your face, offering a unique and personal touch to your artistic expression. We recommend that women attend without makeup and all participants wear comfortable clothes that you don’t mind getting paint on to ensure the best experience.    Guided Art Sessions: Experienced art therapists will lead you through each step, helping you unlock your creativity and emotions. Supportive Community: Connect with fellow survivors in a safe, understanding environment, sharing, and reflecting on your journey together. Panel Discussion: At the end of the workshop series, some participants will have the opportunity to join community leaders in a panel discussion at the August Wilson Center to discuss the impact of the project and share their experiences. Meals Provided: Enjoy continental breakfast and lunch for both days, ensuring you’re nourished and focused on your healing journey. Special Ceremony: Conclude the workshop with a special ceremony to honor your journey, celebrate your resilience, and reflect on the weekend’s experiences. By the end of this weekend, you’ll leave with: A tangible, artistic expression of your journey and resilience. Newfound connections and support from a community of fellow survivors. The empowerment that comes from reclaiming your narrative and celebrating your loved ones. An opportunity to voice your story and impact the community through a panel discussion.', 'event_name': 'Faces of Resilience Workshops'}","Faces of Resilience is a two-day workshop at the August Wilson African American Cultural Center, offering masks to survivors of gun violence to express emotions, celebrate loved ones, and honor triumphs."
"{'event_name': 'Black & Gold Tour', 'date': 'Oct 27, 2024', 'description': 'Tours Black & Gold Tour  Hop aboard and see the Steel City like never before on this one-of-a-kind, tailgate style tour… only in THE BURGH! READ MORE', 'time': '3:00 pm - 4:30 pm'}","Black & Gold Tour is a tailgate-style tour of Pittsburgh scheduled for October 27, 2024, from 3:00 pm to 4:30 pm."
"{'event_name': 'Harry Potter and the Order of the Phoenix™ in Concert', 'date': 'Oct 27, 2024', 'description': 'Entertainment, Film & Movies, Music Harry Potter and the Order of the Phoenix™ in Concert  Experience your favorite movies transformed with the music of a live symphony orchestra in the Harry Potter™ Film Concert Series.? READ MORE', 'time': '2:30 pm - 6:30 pm'}",Harry Potter and the Order of the Phoenix™ in Concert is an event featuring live symphony orchestra music during the Harry Potter film series.
"{'event_name': 'Peter Pan', 'date': 'Oct 27, 2024', 'description': 'Arts + Culture, Entertainment Peter Pan  Escape to Neverland for a daring adventure with Wendy, John, Michael, Tinkerbell and Peter in the ever-playful Peter Pan. READ MORE', 'time': '2:00 pm - 5:00 pm'}","Peter Pan event at 2:00 pm - 5:00 pm, Oct 27, 2024, featuring Wendy, John, Michael, Tinkerbell, and Peter in an adventurous play."
"{'event_name': 'Disney on Ice presents Frozen & Encanto', 'description': 'Entertainment, Family Disney on Ice presents Frozen & Encanto  Check showtimes! READ MORE', 'date': 'Oct 24, 2024 - Oct 27, 2024'}","Disney on Ice presents Frozen & Encanto: October 24-27, 2024"
"{'date': 'Oct 24, 2024 - Oct 27, 2024', 'description': 'Check showtimes!', 'category': 'Entertainment,, Family', 'venue': 'PPG Paints Arena 1001 Fifth Ave Pittsburgh, PA 15219', 'more_details': '', 'event_name': 'Disney on Ice presents Frozen & Encanto'}","Disney on Ice presents Frozen & Encanto will take place at PPG Paints Arena from October 24 to 27, 2024."
