text,contextual_chunk
"{'date': 'Feb 10, 2024 | 8:00 pm - 9:30 pm', 'description': '', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Arcade Hootenanny'}","Arcade Hootenanny is an entertainment event taking place at Arcade Comedy Theater from 8:00 pm to 9:30 pm on February 10, 2024."
"{'date': 'Mar 9, 2024 | 8:00 pm - 9:30 pm', 'description': '', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Arcade Hootenanny'}","Arcade Hootenanny is an entertainment event taking place at Arcade Comedy Theater from 8:00 pm to 9:30 pm on March 9, 2024."
"{'date': 'Apr 13, 2024 | 8:00 pm - 9:30 pm', 'description': '', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Arcade Hootenanny'}","Arcade Hootenanny is an entertainment event taking place at Arcade Comedy Theater from April 13, 2024, at 8:00 pm to 9:30 pm in Pittsburgh, PA."
"{'date': 'May 11, 2024 | 8:00 pm - 9:30 pm', 'description': 'The Arcade Hootenanny is styled after the classic Chicago-style improv show featuring monologist-inspired scenes.', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Our storyteller tells real-life stories inspired by an audience suggestion, and then Pittsburghâ€™s best and brightest improvisers present a fast & funny set based on elements from the story. Produced by Nick Jaramillo', 'event_name': 'Arcade Hootenanny'}",The Arcade Hootenanny is a comedy show in Pittsburgh featuring improvised scenes inspired by audience suggestions.
"{'date': 'Jun 8, 2024 | 8:00 pm - 9:30 pm', 'description': 'The Arcade Hootenanny is styled after the classic Chicago-style improv show featuring monologist-inspired scenes.', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'A storyteller tells real-life tales and improvisers present a fast & funny set inspired by elements from the story.', 'event_name': 'Arcade Hootenanny'}","The Arcade Hootenanny is a comedy show in Pittsburgh featuring monologist-inspired scenes and fast, funny improvisation."
"{'date': 'Aug 10, 2024 | 8:00 pm - 10:00 pm', 'description': 'The Arcade Hootenanny is styled after the classic Chicago-style improv show featuring monologist-inspired scenes.', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'The Arcade Hootenanny is styled after the classic Chicago-style improv show featuring monologist-inspired scenes. A storyteller tells real-life tales and improvisers present a fast & funny set inspired by elements from the story. Featuring special guest storyteller.', 'event_name': 'Arcade Hootenanny'}",The Arcade Hootenanny is a Chicago-style improv show featuring monologist-inspired scenes.
"{'date': 'Oct 12, 2024 | 8:00 pm - 10:00 pm', 'description': 'The Arcade Hootenanny is styled after the classic Chicago-style improv show featuring monologist-inspired scenes. Our storyteller tells real-life stories inspired by an audience suggestion, and then Pittsburgh’s best and brightest improvisers present a fast & funny set based on elements from the story.', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'The Arcade Hootenanny is styled after the classic Chicago-style improv show featuring monologist-inspired scenes. Our storyteller tells real-life stories inspired by an audience suggestion, and then Pittsburghâ€™s best and brightest improvisers present a fast & funny set based on elements from the story.', 'event_name': 'Arcade Hootenanny'}",The Arcade Hootenanny is a comedy show inspired by Chicago-style improv featuring real-life stories and Pittsburgh's best improvisers.
"{'date': 'Feb 10, 2024 | 7:00 pm - 8:30 pm', 'description': '', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Subhah Agarwal'}","Subhah Agarwal's comedy show at Arcade Comedy Theater on February 10, 2024."
"{'date': 'Jun 22, 2024 | 9:00 pm - 10:30 pm', 'description': 'Sixteen-year stand-up comedy veteran Subhah Agarwal has been seen on HBO, NBC, Hulu, and more.', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Now sheâ€™s coming to the Arcade Theater for a hilarious night of comedy covering everything from having elephants at a wedding to being forced to work as a literal clown.', 'event_name': 'Subhah Agarwal'}","Subhah Agarwal, a 16-year veteran stand-up comedian, will perform at the Arcade Comedy Theater in Pittsburgh, covering a wide range of topics including elephants at weddings and working as a clown."
"{'date': 'Feb 10, 2024 | 8:00 pm - 10:00 pm', 'description': 'Les Ballets Trockadero de Monte Carlo brings its internationally beloved troupe of male dancers to Pittsburgh to perform a brilliant combination of skillful pointe work and hilarious parodying of classical ballet favorites.', 'category': 'Arts + Culture,, Entertainment', 'venue': 'Byham Theater 101 6th St Pittsburgh, PA 15222', 'more_details': 'Founded in New York City in 1974, the company, affectionately known as the Trocks, began by appearing in late-late shows in off-off Broadway lofts for small audiences who appreciated the iconoclastic humor of it all. In the 50 years since then, the company has grown to achieve great appeal among more mainstream audiences who, each season, flock to theaters throughout the world to see these prima ballerinas perform. Revered by ballet aficionados as well as the uninitiated—those who don’t know a plié from a jeté —the Trocks are “a guaranteed hoot for people who know nothing of ballet and an absolute must for those who think they know the originals.” Sydney Star Observer', 'event_name': 'Les Ballets Trocadero de Monte Carlo'}",The Les Ballets Trocadero de Monte Carlo performance features male dancers performing a blend of skillful pointe work and humorous parodies of classical ballet.
"{'date': 'Feb 9, 2024 - Feb 11, 2024', 'description': 'Get ready for an epic weekend filled with live tattooing, body piercing and amazing entertainment.', 'category': 'Arts + Culture,, Convention', 'venue': 'Wyndham Grand Pittsburgh Downtown 600 Commonwealth Pl Pittsburgh, PA 15222', 'more_details': 'Baller Inc. Presents the one and only, The OFFICIAL 2024 Pittsburgh Tattoo Expo. February 9 th – 11 th , 2024. We’re celebrating our return by bringing the best tattoo artists to the Pittsburgh area!', 'event_name': 'Pittsburgh Tattoo Expo'}","Pittsburgh Tattoo Expo returns with live tattooing, body piercing, and amazing entertainment from February 9-11, 2024."
"{'date': 'Feb 9, 2024 - Feb 11, 2024', 'description': 'Enjoy big-time family fun at Monster Jam®, where the world’s best drivers and their 12,000-pound monster trucks tear up the dirt in intense competitions of speed and skill.', 'category': 'Entertainment', 'venue': 'PPG Paints Arena 1001 Fifth Ave Pittsburgh, PA 15219', 'more_details': 'Witness crazy skills and all-out racing in fierce head-to-head battles for the Event Championship. You’ll be close to the action as the world’s most popular trucks like Grave Digger®, El Toro Loco®, Megalodon® and more push the limits in Freestyle, Skills, Donut and Racing competitions. Monster Jam also features breathtaking Freestyle Motocross exhibitions. Make memories to last a lifetime. Monster Jam. As Big As It Gets!™  Pit Party Sat, Feb 10, 2024 | 10:30 AM - 12:00 PM Sun, Feb 11, 2024 | 10:30 AM - 12:00 PM  The fun begins at the Monster Jam® Pit Party, where you can get up close to the massive trucks, enjoy family-friendly activities, meet your favorite drivers, get autographs and take pictures. This fun-filled experience is the only place to get an insider’s look at how these 12,000-pound trucks are built to stand up to the competition. Family-fun activities vary by location. The Monster Jam Pit Party—there’s nothing like it.  Post-Event Drive Meet & Greet The Monster Jam Post-Event Driver Meet and Greet is your most exclusive opportunity to meet and mingle with the drivers shortly after the event. Take photos, get autographs and hear competition takeaways from the drivers in a private event space. You will also receive an official Monster Jam souvenir 3’x5’ checkered flag, perfect for autographs. Space is limited, so get your tickets now!  ', 'event_name': 'Monster Jam'}","Monster Jam, a family-friendly event featuring intense competitions of speed and skill with 12, 000-pound monster trucks, taking place from February 9 to 11, 2024 at PPG Paints Arena in Pittsburgh, PA."
"{'date': 'Feb 9, 2024 - Feb 11, 2024', 'description': 'The whole family will have fun at Jurassic Quest, the greatest dinosaur adventure featuring more than 80 life-size animatronic dinosaurs!', 'category': 'Convention,, Family', 'venue': 'David L. Lawrence Convention Center 1000 Fort Dusquene Boulevard Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Jurassic Quest'}",Jurassic Quest is a family-friendly convention featuring over 80 life-size animatronic dinosaurs at the David L. Lawrence Convention Center in Pittsburgh.
"{'date': 'Feb 9, 2024 | 9:00 pm - 10:00 pm', 'description': 'Join The Latchkey Kids and guests for this improv comedy show inspired by the crap we grew up watching.', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'The Latchkey Kids'}","The Latchkey Kids improv comedy show featuring guests, taking place at Arcade Comedy Theater in Pittsburgh."
"{'date': 'Mar 8, 2024 | 9:00 pm - 10:30 pm', 'description': '', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'The Latchkey Kids'}","The Latchkey Kids is an entertainment event at the Arcade Comedy Theater scheduled for March 8, 2024 from 9:00 pm to 10:30 pm in Pittsburgh, PA."
"{'date': 'Apr 12, 2024 | 9:00 pm - 10:30 pm', 'description': '', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'The Latchkey Kids'}","The Latchkey Kids is an entertainment event scheduled at Arcade Comedy Theater on April 12, 2024 from 9:00 pm to 10:30 pm."
"{'date': 'May 10, 2024 | 9:00 pm - 10:30 pm', 'description': 'Join The Latchkey Kids for a night of improvised comedy, public access TV, and dollar-bin VHS trash!', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'This monthly improv show has the vibe of hanging out with friends after school and making fun of whatever crap was on TV. Unsupervised comedy the second Friday of every month!', 'event_name': 'The Latchkey Kids'}",The Latchkey Kids is a monthly improv show featuring unsupervised comedy on the second Friday of each month at Arcade Comedy Theater in Pittsburgh.
"{'date': 'Oct 11, 2024 | 9:00 pm - 11:00 pm', 'description': 'It’s the last Latchkey Kids of 2024! Celebrate our favorite holiday with us in The Latchkey Kids Scared Shitless 2! Not only have The Latchkey Kids been named Best of the Burgh by Pittsburgh Magazine three years in a row, but we also have a sick Camaro our uncle gave us.', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Itâ€™s the last Latchkey Kids of 2024! Celebrate our favorite holiday with us in The Latchkey Kids Scared Shitless 2! Not only have The Latchkey Kids been named Best of the Burgh by Pittsburgh Magazine three years in a row, but we also have a sick Camaro our uncle gave us. Joining us is improv team The Screening Room as well as special guests Punk & Pie Circus with Lindsay Surmacz and Meghan Greenwood of BaM Choreography!', 'event_name': 'The Latchkey Kids'}","The Latchkey Kids Scared Shitless 2 returns with a bang, featuring The Latchkey Kids, The Screening Room, and special guests."
"{'date': 'Feb 9, 2024 | 8:00 pm - 9:30 pm', 'description': 'In need of a Valentines date? Professional improvisers* and matchmakers** Alex Conti and Raina will set two lucky audience members on the fondue date of their dreams!', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Featuring improv by Ricky Romance (Caleb Breckon, Scott Duda, Megan Klein, Tricia Pennington and Erin Ross), comedy from Trombone (Sara Kantner fresh from France), and an actual pot of hot cheese, you lovebirds wonâ€™t want to miss this one! *not really **not at all', 'event_name': 'Fondue for Two'}",A Valentine's date featuring professional improvisers and a pot of hot cheese.
"{'date': 'Apr 12, 2024 | 8:00 pm - 9:30 pm', 'description': '', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Fondue for Two'}","A comedy event called ""Fondue for Two"" scheduled for April 12, 2024, from 8:00 pm to 9:30 pm at Arcade Comedy Theater in Pittsburgh, PA."
"{'date': 'Feb 9, 2024 | 7:00 pm - 8:30 pm', 'description': 'The B words are back with a special 7pm show and you know what that means? NO CUSSING (well, we’re gonna try!) Come on out to our Censored show for a bleeping good time.', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Featuring stand up from Amanda Averell, short form improv games, and a long form set by a one night only cast of comedy queens. Join us and see how many times we fail to keep it clean in this early evening romp. B!tch please is a celebration of women throughout time breaking traditional roles to gain rights and fulfill the dreams we build for ourselves. Hosted by Molly Graham & Mary Quick', 'event_name': 'B!tch Please'}","B!tch Please is a comedy event featuring stand-up, improv games, and a special one-night cast of comedy queens, hosted by Molly Graham and Mary Quick."
"{'date': 'Mar 16, 2024 | 8:00 pm - 9:30 pm', 'description': '', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'B!tch Please'}","B!tch Please is an entertainment event at the Arcade Comedy Theater in Pittsburgh, PA, scheduled for March 16, 2024 from 8:00 pm to 9:30 pm."
"{'date': 'Feb 9, 2024 - Feb 11, 2024', 'description': 'See and hear tragedy unfold', 'category': 'Arts + Culture,, Music', 'venue': 'Heinz Hall 600 Penn Ave Pittsburgh, PA 15222', 'more_details': 'Shakespeare is illuminated in this unique collaboration between local lighting designers, actors and your Pittsburgh Symphony. See and hear the timeless story of Romeo and Juliet come to life with Prokofiev’s cinematic orchestration paired with visual aesthetics to complete the experience. Described as “Liszt reincarnated” ( Fanfare ), Alexandre Kantorow makes his Pittsburgh debut playing Liszt himself in his dazzling and daring Piano Concerto No. 2.', 'event_name': ""Prokofiev's Romeo & Juliet""}","A unique collaboration between local lighting designers, actors, and the Pittsburgh Symphony illuminates Shakespeare's ""Romeo and Juliet"" with Prokofiev's orchestration and visual aesthetics."
"{'date': 'Feb 9, 2024 | 7:00 pm - 9:00 pm', 'description': 'This program presents two television episodes produced by Andy Warhol T.V. Productions in the early 1980s that never aired on Manhattan Cable TV.', 'category': 'Arts + Culture,, Film & Movies', 'venue': 'Andy Warhol Museum 117 Sandusky St Pittsburgh, PA 15212', 'more_details': 'Warhol and company used the New York public access channel as the platform for Fashion , their first foray into television. They followed soon after with the first season of Andy Warhol’s T.V. The two episodes include Tommy Pashun, Julie Hagerty, Phobe Cates, Fernando Sanchez, and David Sylvian.', 'event_name': ""Warhol's Unseen Television""}",A documentary about two unairdable Andy Warhol TV episodes from the early 1980s.
"{'date': 'Feb 9, 2024 | 5:00 pm - 7:00 pm', 'description': 'Learn to design and print on Fab Lab’s 3D printers and explore the technology of 3D printing using a 3D printing pen.', 'category': 'Family,, Workshops & Classes', 'venue': 'Carnegie Science Center 1 Allegheny Ave Pittsburgh, PA 15212', 'more_details': 'This introductory class is required in order to use the 3D printer during Fab Lab Open Workshop (FLOW). Workshop is open to ages 8 and up. Children 12 and under must be accompanied by an adult who also registers for the workshop.', 'event_name': '3D Printing 101'}",An introductory 3D printing workshop for children aged 8 and up at Carnegie Science Center.
"{'date': 'Apr 12, 2024 | 5:00 pm - 7:00 pm', 'description': 'Learn to design and print on Fab Lab’s 3D printers and explore the technology of 3D printing using a 3D printing pen.', 'category': 'Family,, Workshops & Classes', 'venue': 'Carnegie Science Center 1 Allegheny Ave Pittsburgh, PA 15212', 'more_details': 'This introductory class is required in order to use the 3D printer during Fab Lab Open Workshop (FLOW). Workshop is open to ages 8 and up. Children 12 and under must be accompanied by an adult who also registers for the workshop. Please note: Tickets are being sold up to four weeks in advance.', 'event_name': '3D Printing 101'}",An introductory 3D printing workshop at Carnegie Science Center.
"{'date': 'May 10, 2024 | 5:00 pm - 7:00 pm', 'description': 'Learn to design and print on Fab Lab’s 3D printers and explore the technology of 3D printing using a 3D printing pen.', 'category': 'Workshops & Classes', 'venue': 'Carnegie Science Center 1 Allegheny Ave Pittsburgh, PA 15212', 'more_details': 'This introductory class is required in order to use the 3D printer during Fab Lab Open Workshop (FLOW). Workshop is open to ages 8 and up. Children 12 and under must be accompanied by an adult who also registers for the workshop. Please note: Tickets are being sold up to four weeks in advance.', 'event_name': '3D Printing 101'}",An introductory 3D printing workshop at Carnegie Science Center.
"{'date': 'Jun 14, 2024 | 5:00 pm - 7:00 pm', 'description': 'Learn to design and print on Fab Lab’s 3D printers and explore the technology of 3D printing using a 3D printing pen.', 'category': 'Workshops & Classes', 'venue': 'Carnegie Science Center 1 Allegheny Ave Pittsburgh, PA 15212', 'more_details': 'This introductory class is required in order to use the 3D printer during Fab Lab Open Workshop (FLOW). Workshop is open to ages 8 and up. Children 12 and under must be accompanied by an adult who also registers for the workshop. Please note: Tickets are being sold up to four weeks in advance.', 'event_name': '3D Printing 101'}",An introductory 3D printing workshop at Carnegie Science Center.
"{'date': 'Feb 9, 2024 | 6:00 pm - 10:00 pm', 'description': 'Celebrate love in many forms at the Science Center.', 'category': 'Entertainment,, Workshops & Classes', 'venue': 'Carnegie Science Center 1 Allegheny Ave Pittsburgh, PA 15212', 'more_details': 'See a beating gallium “heart”, learn about the messy brain chemistry of romantic thoughts, and explore relationships throughout the animal kingdom. Experience a night under the stars in the Buhl Planetarium or enjoy our other science demonstrations. Whether you bring a date, a platonic friend, or are going solo, there will be something for everyone.', 'event_name': '21+ Night: Seductive Science'}",A 21+ night event celebrating various forms of love with science demonstrations at the Carnegie Science Center.
"{'date': 'Feb 8, 2024 - Feb 9, 2024 | 7:00 pm - 9:00 pm', 'description': 'Join us as our Propel Performing Arts Academy students tell the story of a child journeying through the highs and lows of middle school.', 'category': 'Arts + Culture,, Entertainment', 'venue': 'New Hazlett Theater 6 Allegheny Square E Pittsburgh, PA 15222', 'more_details': 'Throughout the show you will travel through time as the main character is transported into her future and gains perspective on the current trials she is facing. The story will be told through dance, shadow screening, recycled percussion, stomp, vocal performances, and glow in the dark creative movement.', 'event_name': 'Middle School Mania'}",Middle School Mania is a dance performance at the New Hazlett Theater that tells the story of a middle school student's journey through high school challenges.
"{'date': 'Feb 8, 2024 | 6:30 pm - 11:00 pm', 'description': 'Featuring Melt', 'category': 'Entertainment,, Music', 'venue': 'Stage AE 400 N Shore Dr Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Greensky Bluegrass'}",A music event featuring Melt at Greensky Bluegrass.
"{'date': 'Feb 8, 2024 | 5:00 pm - 8:00 pm', 'description': '', 'category': 'Entertainment,, Music', 'venue': 'Revel 242 Forbes Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Trinity Wiseman'}","Trinity Wiseman's music event at Revel 242 Forbes Ave in Pittsburgh, PA."
"{'date': 'Feb 8, 2024 | 7:00 pm - 9:00 pm', 'description': ""Honoring Rennie Harris Puremovement's 30th anniversary, legendary choreographer Rennie Harris returns to The great city of Pittsburgh, PA with his classic work, Rome & Jewels."", 'category': 'Arts + Culture,, Entertainment', 'venue': 'PNC Theater 350 Forbes Avenue Pittsburgh, PA 15222', 'more_details': ""Set in the streets of Philadelphia, the Bessie Award-winning production is a story of fear, love, and triumph, rooted in the traditions of Hip-Hop and street dance. “The Basquiat of the U.S. contemporary dance scene” (The London Times), Harris reinvents a timeless tale to embody the diverse African-Diasporic traditions of the past and to pave the way for innovative storytelling through dance. Content Advisory: Rome & Jewels contains strong language. 2023 Rennie Harris Presents: Rome & Jewels is a New was the York Times Critic's Pick! Click here to read the full review by Brian Seibert."", 'event_name': 'Rennie Harris: Rome & Jewels'}","Rennie Harris presents ""Rome & Jewels"" at PNC Theater in Pittsburgh, PA, marking the 30th anniversary of his iconic choreography."
"{'date': 'Feb 8, 2024 | 7:30 pm - 9:00 pm', 'description': '', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Hot Jam with Ricky Romance'}","Hot Jam with Ricky Romance is an entertainment event scheduled for February 8, 2024, from 7:30 pm to 9:00 pm at the Arcade Comedy Theater in Pittsburgh, PA."
"{'date': 'Mar 14, 2024 | 7:30 pm - 9:00 pm', 'description': '', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Hot Jam with Ricky Romance'}","A comedy show featuring Ricky Romance scheduled for March 14, 2024 at the Arcade Comedy Theater in Pittsburgh."
"{'date': 'Apr 11, 2024 | 7:30 pm - 9:00 pm', 'description': '', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Hot Jam with Ricky Romance'}","A comedy show featuring Ricky Romance scheduled for April 11, 2024 at the Arcade Comedy Theater in Pittsburgh."
"{'date': 'Feb 8, 2024 | 12:30 pm - 1:30 pm', 'description': 'Join us for a fun and engaging social program.', 'category': 'Community,, Free event', 'venue': 'Carnegie Library Pittsburgh 612 Smithfield St Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Library Lounge: Gaming'}",A free community event at Carnegie Library Pittsburgh featuring a gaming lounge.
"{'date': 'Mar 14, 2024 | 12:30 pm - 1:30 pm', 'description': 'Join us for a fun and engaging social program.', 'category': 'Community,, Free event', 'venue': 'Carnegie Library Pittsburgh 612 Smithfield St Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Library Lounge: Gaming'}",A free community event at Carnegie Library Pittsburgh featuring a gaming lounge.
"{'date': 'Apr 11, 2024 | 12:30 pm - 1:30 pm', 'description': 'Join us for a fun and engaging social program.', 'category': 'Community,, Free event', 'venue': 'Carnegie Library Pittsburgh 612 Smithfield St Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Library Lounge: Gaming'}",A free community event at Carnegie Library Pittsburgh featuring a gaming lounge.
"{'date': 'May 9, 2024 | 12:30 pm - 1:30 pm', 'description': 'Join us for a fun and engaging social program.', 'category': 'Community,, Free event', 'venue': 'Car 612 Smithfield St Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Library Lounge: Gaming'}","Library Lounge: Gaming - Free event on May 9, 2024 from 12:30 pm to 1:30 pm at Car 612 Smithfield St, Pittsburgh, PA."
"{'date': 'Jun 13, 2024 | 12:30 pm - 1:30 pm', 'description': 'Come join us for an afternoon full of board games!', 'category': 'Free event', 'venue': 'Carnegie Library Pittsburgh 612 Smithfield St Pittsburgh, PA 15222', 'more_details': 'We have a large game collection on site, and you are also welcome to bring your own.', 'event_name': 'Library Lounge: Gaming'}",A free event at the Carnegie Library Pittsburgh featuring board games.
"{'date': 'Aug 8, 2024 | 12:30 pm - 1:30 pm', 'description': 'Come join us for an afternoon full of board games! We have a large game collection on site, and you are also welcome to bring your own.', 'category': 'Community,, Free event', 'venue': 'Carnegie Library of Pittsburgh Downtown 612 Smithfield St Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Library Lounge: Gaming'}",A free community event at the Carnegie Library of Pittsburgh Downtown featuring board games.
