Question,Answer,Context,Yashwanth,Naman,Sathwik
What advantages did Pittsburgh have in terms of glassware production?,Proximity to a source of cheap fuel (coal) and access to agood waterways system,"Pittsburgh glassPittsburgh glass, American glassware produced from the end of the 18th century at numerous factories in thatPennsylvania city. Pittsburgh had the twin advantages of proximity to a source of cheap fuel (coal) and access to agood waterways system, which afforded an inexpensive means of distribution; thus, of the 50 glasshouses thatsprang up in Pennsylvania between 1763 and 1850, 40 or more were situated in Pittsburgh (although of these only14 produced ﬂint glass, a type of clear crystal, the other 26 making strictly utilitarian items such as windowpanesand cider, beer, and whiskey bottles).",1,1,0
When are the grades due for the fall 2024 semester at CMU?,December 18th,"""date"": ""Wednesday, December 18"",
""event_name"": ""Final Grades Due by"",
""time"": ""All Day""",0,0,0
How many games did the Pittsburgh Pirates lose in 2021 season?,101,"The Pirates continued to struggle in the ensuing years, and in 2021 the team lost101 games",1,1,1
From which year did the Picklesburgh festival start ?,2015,"The inaugural Picklesburgh festival took place on July 17 and 18, 2015, on the Rachel Carson Bridge in Downtown Pittsburgh, Pennsylvania.",1,1,1
How far is Monroeville from Pittsburgh?,13 miles,"MonroevilleMonroeville, borough (municipality), Allegheny county, southwestern Pennsylvania, U.S., on the PennsylvaniaTurnpike, 13 miles (21 km) east of Pittsburgh",0,0,0
What is the name of the concert that is a tribute to Pink Floyd ?,Anybody Out There,"{'event_name': 'Anybody Out There – A Tribute to Pink Floyd', 'date': 'Oct 25, 2024', 'time': '7:30 PM', 'location': 'Carnegie of Homestead Music Hall Pittsburgh, Pennsylvania 15120', 'price': '$92'}",0,1,1
In what years did the Steelers return to the Eastern Division?,1949,"The Steelers were a part of the NFL Eastern Division from 1933 to 1943 and were briefly in the Western Division in 1944, before returning to the Eastern Division until 1949. The team was then in the American Conference from 1950 to 1952, and the Eastern Conference from 1953 to 1966. They were then placed in the Century Division of the Eastern Conference in 1967. When the league reformed into the NFC and AFC in 1970, the Steelers were placed in the AFC Central until 2001 when they were realigned into the AFC North Division.
",1,1,1
When can one attend the earliest Neurospicy meeting from today ?,October 21,"{'date': 'Monday, October 7', 'event_name': 'Neurospicy — Graduate', 'time': '1-2:30 p.m.Weekly (to Dec 13)', 'location': 'Morewood Gardens Group Room', 'description': 'Neurospicy is a supportive space for students across the neurodiverse umbrella to discuss their experiences traversing neuro-typical and allistic landscapes.'}",0,0,1
What is the time frame during which passed Hors d'oeuvres will be served?,9 pm-11 pm,"{'name': ""New Year's Eve Red Carpet Soiree at City Works"", 'date': 'Dec 31, 2023 - Jan 1, 2024 | 9:00 pm - 2:00 am', 'description': ""Step into the glitz and glamour of Hollywood as we roll out the red carpet to bid farewell to the year in style. Join us for the most glamorous New Year's Eve celebration in town."", 'category': 'Entertainment,, Holidays,, Nightlife', 'venue': 'City Works 2 PPG Pl Pittsburgh, PA 15222', 'more_details': ""Passed Hors d’oeuvres: From savory bites to sweet shooters, we've curated a menu that's as sophisticated as the occasion. Served from 9 pm-11 pm Picture-Perfect Moments: Capture the memories of this glamorous night at our photo booth. Strike a pose with props and remember the magic of the evening with snapshots that will last a lifetime. Drink Tickets: Your ticket includes two drink tickets, each valid for a beverage up to $15. We'll also have bottles of champagne served with a sparkler for $20.24 - a truly sparkling wine! Channel your inner Hollywood star and showcase your most charming attire. From red carpet gowns to sleek tuxes, step into the New Year with flair. Secure your spot now and get ready to walk the red carpet into an unforgettable night. This event is 21+.""}",1,1,1
What was Pittsburgh's nickname?,"the ""Smoky City""","This is an article on History of Pittsburgh. Rich and productive, Pittsburgh was also the ""Smoky City,"" with smog sometimes so thick that streetlights burned during the day as well as rivers that resembled open sewers.  Civic leaders, notably Mayor David L. Lawrence, elected in 1945, Richard K. Mellon, chairman of Mellon Bank and John P. Robin began smoke control and urban revitalization, also known as Urban Renewal projects that transformed the city in unforeseen ways.
""Renaissance I"" began in 1946.  Title One of the Housing Act of 1949 provided the means in which to begin.  By 1950, vast swaths of buildings and land near the Point were demolished for Gateway Center. 1953 saw the opening of the (since demolished) Greater Pittsburgh Municipal Airport terminal.
In the late 1950s and early 1960s, the lower Hill District, an area inhabited predominantly by poor Blacks, was completely destroyed. Ninety-five acres of the lower Hill District were cleared using eminent domain, forcibly displacing hundreds of small businesses and more than 8,000 people (1,239 black families, 312 white), to make room for a cultural center that included the Civic Arena, which opened in 1961. Other than one apartment building, none of the other buildings planned for the cultural center were ever built.
In the early 1960s, the neighborhood of East Liberty was also included in Renaissance I Urban Renewal plans, with over 125 acres (0.51 km2) of the neighborhood being demolished and replaced with garden apartments, three 20-story public housing apartments, and a convoluted road-way system that circled a pedestrianized shopping district.  In the span of just a few years during the mid-1960s, East Liberty became a blighted neighborhood. There were some 575 businesses in East Liberty in 1959, but only 292 in 1970, and just 98 in 1979.
Preservation efforts by the Pittsburgh History and Landmarks Foundation, along with community neighborhood groups, resisted the demolition plans.  The neighborhoods containing rich architectural heritage, including the Mexican War Streets, Allegheny West, and Manchester, were spared. The center of Allegheny City, with its culturally and socially important buildings, was not as lucky. All of the buildings, with the exception of the Old U.S. Post Office, the Carnegie Library, and Buhl Planetarium were destroyed and replaced with the ""pedestrianized"" Allegheny Center Mall and apartments.
The city's industrial base continued to grow in the post-war era partly assisted by the area's first agency entirely devoted to industrial development, the RIDC. Jones and Laughlin Steel Company expanded its plant on the Southside. H.J. Heinz, Pittsburgh Plate Glass, Alcoa, Westinghouse, U.S. Steel and its new division, the Pittsburgh Chemical Company and many other companies also continued robust operations through the 1960s. 1970 marked the completion of the final building projects of Renaissance I: the U.S. Steel Tower and Three Rivers Stadium. In 1974, with the addition of the fountain at the tip of the Golden Triangle, Point State Park was completed. Although air quality was dramatically improved, and Pittsburgh's manufacturing base seemed solid, questions abound about the negative effects Urban Renewal continues to have on the social fabric of Pittsburgh. Pittsburgh, however, was about to undergo one of its most dramatic transformations.
Like most major cities, Pittsburgh experienced several days of rioting following the assassination of Martin Luther King Jr. in April 1968. There were no further major riots, although tension remained high in the inner-city black neighborhoods.",1,1,1
What was the merged team of Pittsburgh Steelers and Philadelphia Eagles called?,Steagles,"The Steelers have used black and gold as their colors since the club's inception, the lone exception being the 1943 season when they merged with the Philadelphia Eagles and formed the ""Steagles""",1,1,1
What was the cultural nucleus of Black Pittsburgh ?,Wylie Avenue in the Hill District,"This is an article on History of Pittsburgh. The years 1916–1940 marked the largest migration of African Americans to Pittsburgh during the Great Migration from the rural South to industrial cities of the Northeast and Midwest. These migrants came for industrial jobs, education, political and social freedom, and to escape racial oppression and violence in the South. Migrants going to Pittsburgh and surrounding mill towns faced racial discrimination and restricted housing and job opportunities. The black population in Pittsburgh jumped from 6,000 in 1880 to 27,000 in 1910.  Many took highly paid, skilled jobs in the steel mills. Pittsburgh's black population increased to 37,700 in 1920 (6.4% of the total) while the black element in Homestead, Rankin, Braddock, and others nearly doubled. They succeeded in building effective community responses that enabled the survival of new communities.
Historian Joe Trotter explains the decision process:

Although African-Americans often expressed their views of the Great Migration in biblical terms and received encouragement from northern black newspapers, railroad companies, and industrial labor agents, they also drew upon family and friendship networks to help in the move to Western Pennsylvania. They formed migration clubs, pooled their money, bought tickets at reduced rates, and often moved ingroups. Before they made the decision to move, they gathered information and debated the pros and cons of the process....In barbershops, poolrooms, and grocery stores, in churches, lodge halls, and clubhouses, and in private homes, southern blacks discussed, debated, and decided what was good and what was bad about moving to the urban North.
The newly established Black communities nearly all endured, apart from Johnstown where blacks were expelled in 1923. Joe Trotter explains how the Blacks built new institutions for their new communities in the Pittsburgh area:

Black churches, fraternal orders, and newspapers (especially the Pittsburgh Courier); organizations such as the NAACP, Urban League, and Garvey Movement; social clubs, restaurants, and baseball teams; hotels, beauty shops, barber shops, and taverns, all proliferated.
The cultural nucleus of Black Pittsburgh was Wylie Avenue in the Hill District. It became  an important jazz mecca because jazz greats such as Duke Ellington and Pittsburgh natives Billy Strayhorn and Earl Hines played there. Two of the Negro League's greatest baseball rivals, the Pittsburgh Crawfords and the Homestead Grays, often competed in the Hill District. The teams dominated the Negro National League in the 1930s and 1940s.",1,1,1
Name the place that has been a gathering place for kids and children in Pittsburgh?,Carnegie Science Center.,"According to Nicholas Efran,""The Carnegie Science Center has been a gathering place for kids and families for many years.""",1,1,1
When did the Great Depression start in Pittsburgh?,1929,"This is an article on History of Pittsburgh. Pittsburgh was a Republican stronghold starting in the 1880s, and the Republican governments provided jobs and assistance for the new immigrants in return for their votes. But the Great Depression starting in 1929 ruined the GOP in the city. The Democratic victory of 1932 meant an end to Republican patronage jobs and assistance. As the Depression worsened, Pittsburgh ethnics voted heavily for the Democrats, especially in 1934, making the city a stronghold of the New Deal Coalition. By 1936, Democratic programs for relief and jobs, especially the WPA, were so popular with the ethnics that a large majority voted for the Democrats.
Joseph Guffey, statewide leader of the Democrats, and his local lieutenant David Lawrence gained control of all federal patronage in Pittsburgh after Roosevelt's landslide victory in 1932 and the election of a Democratic mayor in 1933. Guffey and Lawrence used the New Deal programs to increase their political power and build up a Democratic machine that superseded the decaying Republican machine. Guffey acknowledged that a high rate of people on relief was not only ""a challenge"" but also ""an opportunity."" He regarded each relief job as Democratic patronage.",1,1,1
What resulted in African Americans moving en masse during the Second Great Migration ?,workforce shortage,"This is an article on History of Pittsburgh. Pittsburgh was at the center of the ""Arsenal of Democracy"" that provided steel, aluminum, munitions and machinery for the U.S. during World War II. Pittsburgh's mills contributed 95 million tons of steel to the war effort. The increased production output created a workforce shortage, which resulted in African Americans moving en masse during the Second Great Migration from the South to the city in order to find work.",0,0,0
Who is the CEO and co-founder of CorePower Magnetics?,Sam Kernion,"Scott Institute Entrepreneurial Student Lunch Seminar is happening  on Wednesday, October 24 , Noon-1:30 p.m. We will be joined by Sam Kernion, CEO and co-founder of CorePower Magnetics, a company specializing in developing advanced magnetic materials and components for power electronics.",1,1,1
I want to know the date for the R and R Studio part 2 workshop event. When is it happening?,"Tuesday, Novemeber 13","{'event_name': 'Getting Started With R and R Studio Part 2', 'date': 'Tuesday, November 13', 'description': 'This two-part introductory workshop aims to teach basic concepts, skills, and tools for working with data in R so that you can get more done in less time, and apply concepts of reproducibility to your research.', 'time': '10-11:30 a.m.', 'location': 'Online'}",1,0,1
Who is performing the special opening act for Pittsburgh Pride?,Riley Knoxx,"Pittsburgh Pride: The Opening Celebration is happening  on May 31, 2024 | 2:00 pm - 8:00 pm Featuring 30+ local artist, a headlining performances by The First Ladies of Disco, and a special opening act by the #1 Beyonce’ impersonator in the USA; Riley Knoxx!",0,1,1
Who was the music director for Pittsburgh Symphony Orchestra from 1938 - 1948 ?,Fritz Reiner,"Pittsburgh Symphony Orchestra (PSO ), American symphony orchestra based in Pittsburgh. It was founded asthe Pittsburgh Orchestra in 1896; its ﬁrst conductor was Frederick Archer (1896–98). Music director VictorHerbert (1898–1904) was followed by permanent conductor Emil Paur (1904–10), after which the orchestra wasdisbanded until 1926, when the newly formed autonomous Pittsburgh Symphony Society presented a concertconducted by Richard Hageman. From 1927 through 1930, the PSO was led by Elias Breeskin, concertmaster andlater conductor, and by such guest conductors as Eugene Goossens and Walter Damrosch. Permanent conductorAntonio Modarelli (1930–37) was succeeded by Otto Klemperer (1937–38), who reorganized the membershipand revitalized the orchestra. Music directors have been Fritz Reiner (1938–48), William Steinberg (1952–76;emeritus 1976–78), André Previn (1976–84), Lorin Maazel (1988–96; music consultant 1984–88), Mariss Jansons(1995–2004), and Manfred Honeck (2008– )",1,1,1
When is the NACADA's 2024 Annual Conference happening?,Oct 27 to Oct 30,"""name"": ""NACADA's 2024 Annual Conference"",
 ""date"": ""Oct 27, 2024 - Oct 30, 2024"",
 ""description"": ""NACADA promotes and supports quality academic advising in institutions of higher education to enhance the educational development of students."",
 ""category"": ""Convention"",
 ""venue"": ""David L. Lawrence Convention Center 1000 Fort Duquesne Blvd Pittsburgh, PA 15222"",
 ""more_details"": ""NACADA promotes and supports quality academic advising in institutions of higher education to enhance the educational development of students. NACADA provides a forum for discussion, debate, and the exchange of ideas pertaining to academic advising through numerous activities and publications. NACADA also serves as an advocate for effective academic advising by providing a Consulting and Speaker Service and funding for Research related to academic advising. Attendees are on their own for lunch and dinner each day during the event. Lunch options will be available for purchase at the David L. Lawrence Convention Center but attendees will have a break between 11:30 a.m. - 1:30 p.m. on Monday and Tuesday to dine at nearby restaurants.""
",1,1,1
