section,text
Players of note -> Baseball Hall of Famers,
Players of note -> Ford C. Frick Award recipients,
Players of note -> Pirates Hall of Fame,"In 2022, the Pirates formally established a team Hall of Fame to honor the ""most influential ballplayers in Pittsburgh baseball history"", as picked by an internal committee that had the help of team historian Jim Trdinich. 19 individuals were part of the first class, which included every Pittsburgh Pirate inducted into the National Baseball Hall of Fame along with several other former players, broadcasters, and coaches. Like the Washington Nationals with the Ring of Honor, the Pirates inducted players that had played for the Negro league baseball team Homestead Grays, which had played in Forbes Field and Greenlee Field in Pittsburgh alongside their time in Washington; two of the first class also spent time with the Pittsburgh Crawfords, with a ceremony dedicated to ""signing"" the four to Pirates contracts. All inductees were honored with a plaque displayed in the concourse by the entrance with the statue of Roberto Clemente."
Players of note -> Awards -> Most Valuable Player Award,"Andrew McCutchen (2013)
Barry Bonds (1990, 1992)
Willie Stargell (1979)
Dave Parker (1978)
Roberto Clemente (1966)
Dick Groat (1960)
Paul Waner (1927)"
Players of note -> Awards -> Cy Young Award,"Doug Drabek (1990)
Vern Law (1960, MLB)"
Players of note -> Awards -> Rookie of the Year Award,Jason Bay (2004)
Players of note -> Awards -> Manager of the Year Award,"Clint Hurdle (2013)
Jim Leyland (1990, 1992)"
Players of note -> Awards -> Comeback Player of the Year Award,"Francisco Liriano (2013)
Rick Reuschel (1985)
Willie Stargell (1978)
Vern Law (1964)"
Players of note -> Awards -> Roberto Clemente Award,"Andrew McCutchen (2015)
Willie Stargell (1974)"
Players of note -> Team captains,"Dick Groat -1962
Bill Mazeroski 1963–1972
Willie Stargell 1973–1982
Bill Madlock 1983"
Franchise records -> Career batting,
Franchise records -> Career pitching,
Franchise records -> Win–loss records,"100  wins in a season
1902 (103–36), Fred Clarke
1909 (110–42), Fred Clarke
100 losses in a season
1890 (23–113), Guy Hecker
1917 (51–103), Jim Callahan, Honus Wagner, and Hugo Bezdek
1952 (42–112), Billy Meyer
1953 (50–104), Fred Haney
1954 (53–101), Fred Haney
1985 (57–104), Chuck Tanner
2001 (62–100), Lloyd McClendon
2010 (57–105), John Russell
2021 (61–101), Derek Shelton
2022 (62–100), Derek Shelton"
Franchise records -> First-in-MLB accomplishments,"On May 8, 1886, the Pittsburgh Alleghenys turned the first 3–4–2 triple play in Major League history. In the fourth inning of a game, the Cincinnati Red Stockings put runners in first and second with no outs. John Reilly grounded out to first base, where Fred Carroll recorded the first out. He threw to second base, where Sam Barkley made the tag for the second out. The runner from second decided to try for home plate and he was cut down on a throw from Barkley and a tag by Doggie Miller. The Alleghenys won the game, 9–6.
First ever Major League Baseball game broadcast on the radio, a game between the Pirates and the host Philadelphia Phillies aired August 5, 1921, on KDKA (AM) Pittsburgh. The Pirates won the game, 8–5.
In 1925, the Pirates became the first MLB team to recover from a 3-games-to-1 deficit in winning a best-of-seven World Series; they then became the first MLB team to repeat that feat in 1979.
During the 1953 season, the Pirates became the first team to permanently adopt batting helmets on both offense and defense. These helmets resembled a primitive fiberglass ""miner's cap"". This was the mandate of general manager Branch Rickey, who also owned stock in the company producing the helmets. Under Rickey's orders, all Pirate players had to wear the helmets both at bat and in the field. The helmets became a permanent feature for all Pirate hitters, but within a few weeks the team began to abandon their use of helmets in the field, partly because of their awkward and heavy feel. Once the Pirates discarded the helmets on defense, the trend disappeared from the game. In 2014, Major League Baseball allowed pitchers to choose to wear a padded hat that aims to combine the added safety of a helmet with the comfort of a baseball cap. The cap would prove widely unpopular, with only Alex Torres of the New York Mets choosing to wear it.
First franchise to win a World Series on a home run (1960 World Series) in the 7th game. The only other team to accomplish this feat is the Toronto Blue Jays in 1993, though theirs came in Game 6.
In 1970 the Pirates became the first major league club to create their uniforms using a cotton-nylon blend featuring pull-over shirts and beltless pants.
The first all-minority lineup in MLB history took the field on September 1, 1971. The lineup was Rennie Stennett, Gene Clines, Roberto Clemente, Willie Stargell, Manny Sanguillén, Dave Cash, Al Oliver, Jackie Hernández, and Dock Ellis.
The first World Series night game was played in Three Rivers Stadium on October 13, 1971—eleven years to the day since Mazeroski's walk-off homer brought the Pirates their last World Series title in 1960. In this case, however, it was Game 4 between the Pirates and the Baltimore Orioles, rather than a decisive Game 7. Apparently, good things happen for the Pirates on this date, as they knotted the 1971 World Series at two games apiece on their way to their fourth title.
The first MLB scout to win the ""Scout of the Year Award"", Howie Haak, in 1984, three additional scouts from the organization have subsequently won the award.
The first combined extra inning no-hitter in MLB history took place at Three Rivers Stadium on July 12, 1997. Francisco Córdova (9 innings) and Ricardo Rincón (1 inning) combined to no-hit the Houston Astros, 3–0 in 10 innings. Pinch-hitter Mark Smith's three-run walk-off home run in the bottom of the 10th inning sealed the victory and the no-hitter for the Pirates. It remains the only such no-hitter to date.
In November 2008, the Pirates became the first MLB team to sign Indian players when they acquired the non-draft free agents of Rinku Singh and Dinesh Patel. This was also seen by Pirates general manager Neal Huntington, as ""not only add[ing] two prospects to our system but also hope to open a pathway to an untapped market.""
The Pirates are the first team in professional sports to have 20 consecutive losing seasons. This streak lasted from 1993 to 2012. This is the longest such streak in North American professional sports history.
The Pirates are the first MLB team (as well as only second in major professional sports) to be owned by an openly gay owner, although Kevin McClatchy had already divested his shares in the Pirates when he openly announced his homosexuality in September 2012.
On April 6, 2015, the Pirates' loss to the Cincinnati Reds earned the team its 10,000 franchise loss and making the Pirates the first MLB team to reach their 10,000th loss on an Opening Day.
On May 9, 2015, the Pirates became the first MLB team to turn a 4–5–4 triple play. The triple play occurred during a 7–5 win over the St. Louis Cardinals. The play occurred when the Cardinals' Yadier Molina lined out to Pittsburgh second baseman Neil Walker. Walker then threw to third baseman Jung Ho Kang to double off the Cardinals' Jhonny Peralta for the second out. Kang then threw the ball back to Walker, who was standing on second base for the final out after St. Louis's Jason Heyward froze between second and third.
On April 24, 2017, the Pirates fielded the first baseball player to be born and raised in Lithuania, to reach the major leagues, Dovydas Neverauskas. In 1933, Joe Zapustas was the first Lithuanian-born player to play in MLB, as a member of the Philadelphia Athletics, however, he grew up in Boston.
On April 26, 2017, the Pirates promoted South African Gift Ngoepe from the AAA Indianapolis Indians; making him the first African-born player in MLB history.
On August 23, 2017, the Pirates became the first team in MLB history to break up a no-hitter in extra innings with a walk-off home run. The home run was hit by Josh Harrison in the tenth inning, off of pitcher Rich Hill, to give the Pirates a 1–0 win over the Los Angeles Dodgers."
Minor league affiliations,The Pittsburgh Pirates farm system consists of seven minor league affiliates.
Civil rights advocacy,"Throughout the 1940s Pirates owner William Benswanger was a leading advocate of integration of the Major Leagues, once planning a tryout for African American players to sign up for the club.
The Pirates organization was the first in baseball to have both an African-American coach and manager, when Gene Baker broke the color line in 1961 and 1962 respectively. On September 21, 1963, the Pirates were the first MLB team to have an African-American manager in Gene Baker, as he filled in for Danny Murtaugh.
On September 1, 1971, manager Murtaugh assembled a starting lineup that was completely composed of minority players for the first time in MLB history."
Fanbase,"Even though they have had some notable fans including former part-owner Bing Crosby, Michael Keaton, and Regis Philbin, the Pirates are considered by most to be a distant third in Pittsburgh behind the Pittsburgh Steelers and Pittsburgh Penguins in popularity among Pittsburgh's three major professional sports teams. However, due to their long history in Pittsburgh dating back to the 1882 season, the team has retained a strong loyal following in the Pittsburgh region, especially among older residents. Upon the team ending their 20-season losing season streak with a winning season in 2013, the fan support for the club has grown once again but still remaining a distant third behind the city's other 2 more successful franchises in the last half-century.
While the team's recent struggles compared to Pittsburgh's other two teams can be partly to blame (since the Pirates last World Series championship in 1979, the Steelers have won the Super Bowl 3 times (XIV, XL, and XLIII) and the Penguins the Stanley Cup five times in 1991, 1992, 2009, 2016, and 2017, including both in 2009), distractions off the field have also caused the team's popularity to slip in the city. While the team was ranked first in Pittsburgh as recent as the late 1970s, the Pittsburgh drug trials in 1985 and two relocation threats since are believed to have also seen the team's popularity dipped. The team's standing among fans has, however, improved along with the team on the field and the opening of PNC Park in 2001. Following the Andrew McCutchen trade in 2018, fan relations have deteriorated despite the Pirates contending for the NL Central during 2018 due to backlash towards owner Robert Nutting, with the team ranking 27th among 30 MLB team in attendance that season.
When the Penguins won the Stanley Cup in 2009 captain Sidney Crosby brought the cup to PNC Park on the Sunday following the team's victory in Detroit. When they won again in 2017 the cup was once again brought to PNC Park and the team threw out the first pitch. The team won the cup in 1992 and they held a celebration in the Pirates' old home Three Rivers Stadium."
Community activities,"Each year, the Pirates recognize six ""Community Champions"" during a special pregame ceremony.
Piratefest is a yearly event that is held by the Pittsburgh Pirates in January. The event is, in essence, a baseball carnival for the whole family. It features autograph sessions from current and former Pirates players and coaches, live events and games, carnival booths, baseball clinics, ""Ask Pirates Management"", and appearances by the Pirate Parrot. Piratefest was once held at the David L. Lawrence Convention Center in downtown Pittsburgh but is now held annually at the ballpark."
Media -> Radio and TV,"The Pirates broadcast the first ever baseball game over the radio on August 5, 1921. Harold Arlin, a foreman at Westinghouse, announced the game over KDKA from a box seat next to the first base dugout at Forbes Field. KDKA had received its broadcasting license only nine months before, becoming the first commercially licensed radio station in the world. Pirate games would be sporadically broadcast over the radio for the next decade; regular broadcasts began in the mid-1930s, with Rosey Rowswell becoming the voice of the Pirates in 1936. Except for a few years on WWSW in the late 1940s and early 1950s, the Pirates were on KDKA for 61 years. KDKA's 50,000-watt clear channel enabled Pirates fans across the eastern half of North America at night to hear the games.
In 2007, the Pirates chose to end the longest relationship between a team and a radio station in American professional sports and moved to FM talk radio station WPGB. The Pirates cited the desire to reach more people in the 25–54 age bracket coveted by advertisers. The acquisition of the rights means that Clear Channel Communications holds the rights to every major sports team in Pittsburgh. The Pirates have long had a radio network that has extended across four states. Stations for the 2007 season included Pennsylvania, West Virginia, Ohio, and Maryland radio broadcasters.
On October 1, 2011, Clear Channel announced that they would not renew their deal with the Pirates, and the team shortly thereafter announced a deal to transfer back to CBS Radio via FM sports radio station KDKA-FM, which became official on October 12.
On March 2, 2016, it was announced a new deal was reached for the Pirates to remain on KDKA-FM. As part of the deal, KDKA-AM has returned as essentially the AM flagship of the team, simulcasting all weekday afternoon games, select other broadcasts, and serving as the backup station for any games that KDKA-FM can not air due to conflicts with Pittsburgh Panthers football and men's basketball.
Games are televised on SportsNet Pittsburgh, the Pirates' cable television outlet since 1986, when it was known as KBL. The network is majority owned by Fenway Sports Group, owners of the Boston Red Sox and Pittsburgh Penguins. The Pirates became joint owners of the channel on December 16, 2023, with operations to be produced by the Red Sox's home network NESN. During the 2016 season, the Pirates averaged a 7.22 rating and 83,000 viewers on primetime TV broadcasts. Apart from any Pirates games aired nationally on Fox, there has been no over-the-air coverage of the Pirates since 2002. Previously, KDKA-TV aired Pirates games for 38 years (1957–1994). Games also aired on WPXI (1995–1996) and on WPGH-TV and WCWB (1997–2002)."
Media -> Announcers,"Current
The Pirates have no set broadcast team for radio or TV; instead, all announcers and analysts take turns working in both mediums over the course of a season. The longest-tenured broadcasters are play-by-play announcer Greg Brown and analyst Bob Walk, both of whom joined the broadcast booth in 1994. Former Pirate and Pittsburgh native John Wehner joined the crew in 2005 as an analyst, while Joe Block became the team's second play-by-play announcer in 2016 after previously working for the Milwaukee Brewers. Former Pirate players who have recently filled in as analysts include Matt Capps, Kevin Young, and Neil Walker.
Past
Westinghouse Electric foreman Harold Arlin called the first-ever radio broadcast of a baseball game, an 8-5 Phillies victory over the Pirates on August 5, 1921. A rotating group of announcers would call games over the next 15 years until Rosey Rowswell joined the broadcast team in 1936. Rowswell did not travel with the team for road games, instead re-creating the action in Pittsburgh after it came in over the teleprinter, usually an inning or so behind. After working solo for a decade, he was joined in the booth by Bob Prince in 1947; Prince would become the lead play-by-play man after Rowswell died in February 1955. Prince's broadcasting style made him immensely popular with fans, and his almost 30-year run with the club coincided with the Pirates' rise to a championship-caliber team. Nicknamed ""The Gunner,"" Prince was known for his ""Gunnerisms""—nicknames and quips—and created the Green Weenie in 1966. He also called the Pirates' championships in 1960 and 1971 as part of the national broadcast for NBC.
Prince and his broadcast partner Nellie King were fired in 1975, which drew the ire of the Pirates' fanbase. Milo Hamilton and Lanny Frattare took over as the new broadcast team in 1976. Hamilton was unhappy in Pittsburgh; he didn't get along with Frattare and felt that he was being criticized for not being Bob Prince. Hamilton left to join the Chicago Cubs after the 1979 season, and Frattare was elevated to the lead play-by-play announcer. Frattare would continue to call Pirate games through the 2008 season, becoming the longest tenured play-by-play man in team history. In turn, he was replaced by Tim Neverett, who called Pirate games from 2009 through 2015.
Former analysts include Don Hoak, Nelson Briles, and Jim Rooker. Former Pirate pitcher Steve Blass, who won Game 7 of the 1971 World Series, worked as a color analyst for the team from 1983 to 2019."
Media -> Figures with broadcasting resumés,
