section,text
Programming and events -> Temporary exhibits -> Late 20th century,"Temporary exhibitions in the 1970s included an exhibit in honor of the museum's late director Harry D. M. Grier, bronzes by Severo Calzetta da Ravenna, and drawings by Fragonard. Topics of temporary exhibitions during the 1980s included busts by Houdon, French clocks, terracotta sculptures by Clodion, drawings by Ingres, Henry Clay Frick's earliest acquisitions, and Old Master paintings.
Especially in the late 20th and early 21st centuries, the museum has hosted temporary exhibitions about singular artworks or artists. Among the items exhibited in the 1990s were works by French painter Nicolas Lancret, watercolors from the Rijksmuseum, eighteenth- and nineteenth-century drawings from the Stanford Museum, a single Claude Monet painting, drawings by German artists, and drawings by French artists. In 1999, several items in the permanent collection were taken out of storage specifically to complement an exhibition of Ingres's Portrait of Comtesse d'Haussonville."
Programming and events -> Temporary exhibits -> 21st century,"In the early 2000s, the topics of the Frick's exhibitions included drawings in the collection of the Albertina museum, paintings from John Hay Whitney's collection, El Greco paintings, antique clocks, pieces from the Toledo Museum of Art's collection, a set of Parmigianino paintings, and three consecutive exhibits of antique bronzes. Later in the decade, the temporary exhibitions included portraits by Hans Memling, paintings by Paolo Veronese, a show of French art, the Frick's first Meissen porcelain show, pieces from the Norton Simon Museum's collection, and a single painting by Parmigianino. The Frick hosted various exhibits in honor of its 75th anniversary in 2010, including an exhibition on its own founding. Other early-2010s exhibits included works from the Dulwich Picture Gallery, works from the Courtauld Gallery, Picasso drawings, Renoir paintings, Piero della Francesca panels, and a historical overview of St. Francis in the Desert.
After some works from the Mauritshuis in The Hague were displayed at the Frick in 2013, the Frick displayed several paintings at the Mauritshuis in 2015, marking the first time that the Frick lent paintings to a European museum. During the mid- and late 2010s, the subjects of the Frick's exhibits included paintings from the Scottish National Gallery's collection, paintings from the Museo dell'Opera del Duomo in Florence, works by Andrea del Sarto, objects by Pierre Gouthière, and canvases by J. M. W. Turner. When the Frick moved to 945 Madison Avenue in the early 2020s, its exhibits included a showcase of Barkley Hendricks paintings (the museum's first exhibit of a black artist's art) and a pair of paintings by Giovanni Bellini and Giorgio da Castelfranco."
Programming and events -> Other programs,"The museum hosts special events, such as academic symposiums, concerts, and classes. The educational programs are led by Rika Burnham, who became head of the museum's education department in 2008. The Frick's educational programs include online visits for students at secondary schools and postsecondary institutions, as well as courses where a single piece is discussed at length. The Frick also has partnerships with local educational partnerships such as the Ghetto Film School. Docents began hosting lectures in galleries in 2010, and the museum launched a mobile app in 2014, allowing visitors to bookmark artworks in the museum's collection. After the Frick closed for renovation, museum officials launched several digital programs, including drawing classes and discussions about artwork.
Every year since 2000, the Frick hosts the Young Fellows Ball, a springtime gala for philanthropists who are largely under age 40. The museum also started hosting an  annual Garden Party in 2008; the event, which began as a members-only gathering, evolved into an annual fundraiser. In 2016, the Frick introduced First Fridays, in which patrons could visit the museum for free on the first Friday of every month. First Fridays include gallery talks and activities for visitors.
The Concerts from the Frick Collection series was launched in 1938 and has continued through the 20th and 21st centuries. Musicians who have performed at the Frick Collection have included Ian Bostridge, Matthias Goerne, Guarneri String Quartet, Wanda Landowska, Gregor Piatigorsky, Artur Schnabel, and Kiri Te Kanawa. The concerts were broadcast on radio starting in 1939, first on the Municipal Broadcasting System, then on American Public Radio and WNYC. Although visitors originally could listen to the concerts free of charge (even after the museum started charging an admission fee), a separate admission charge for concerts was instituted in 2005. Prior to the 2020s renovation, the concerts were hosted in the Frick House's music room."
Programming and events -> Publications,"The collection is detailed in books such as Masterpieces of the Frick Collection, first published in 1970, and Art in the Frick Collection, first published in 1996. The history of the collection was also detailed in Henry Clay Frick: An Intimate Portrait, a biography of Frick written by his great-granddaughter Martha Frick Symington Sanger in 1998. Sanger's subsequent book The Henry Clay Frick House: Architecture-Interiors—Landscapes in the Golden Era, published in 2001, described the Frick House and its collection in detail. In 2011, the Frick and the BNP Paribas Foundation published a guidebook on the collection, its history, and the Frick House. The Frick launched its Diptych series in 2017; the series consists of short books with essays that relate to paintings from the museum's collection."
Building,"The museum is ordinarily located at the Henry Clay Frick House at 1 East 70th Street, which is part of Fifth Avenue's Museum Mile. The house spans an entire blockfront on Fifth Avenue between 70th and 71st Streets. The original structure from 1914 was designed by Thomas Hastings in the Beaux-Arts style. The same style is also used for the 1970s reception wing, designed by Harry Van Dyke, John Barrington Bayley, and G. Frederick Poehler. Both structures have a facade of Indiana Limestone. The house has a lawn that is mostly closed to the public.
The interiors were designed by a variety of people. The British decorator Charles Allom furnished most of the rooms on the ground floor, while the majority of the rooms on the second and third floors were decorated by Elsie de Wolfe. Charles Carstairs and Joseph Duveen provided the original decorations for the rooms. Inside the house are the museum's galleries (adapted from the old living spaces of the mansion), as well as a courtyard with reflecting pool, the latter of which is based on a Roman atrium. Some parts of the house have been modified over the years specifically to accommodate the artwork, including a room for the Fragonard panels. In addition to the artwork and artifacts on display, there are bookcases placed throughout the Frick House's rooms, and some rooms have various other pieces of furniture such as a dining table."
Frick Art Research Library,"The Frick Collection oversees the Frick Art Research Library, which was established in 1920 and opened to researchers in June 1924. The library is housed at a 13-story building at 10 East 71st Street (next to the original mansion). Prior to the library building's opening, the basement bowling alley was used as storage space for the library's collection. The library has always been open to the public, except during World War II, when it was closed for six months, and during the COVID-19 pandemic and 2020 renovation, when it was shuttered while being moved to the Frick Madison. The library is typically open free of charge to ""any adult with a serious interest in art"". In the late 20th century, the library served 6,000 people a year on average, most of whom made advance reservations or requests.
Helen Frick acted as director for six decades, during which time its collection expanded to include 50,000 sales catalogs, 400,000 photographs, and 150,000 books. By the 1990s, the library had an estimated 235,000 volumes, which grew to 280,000 by the late 2000s. The collections of the library focus on art of the Western tradition from the fourth century to the mid-twentieth century, and chiefly include information about paintings, drawings, sculpture, prints, and illuminated manuscripts. Archival materials supplement its research collections. The Frick Art Research Library Photoarchive contains over a million photocopies of artwork, including objects that are not in the museum's collection.
The Frick has been part of the New York Art Resources Consortium (NYARC), which also includes the Museum of Modern Art and Brooklyn Museum, since 2007. NYARC operates Arcade, an online catalog that combines the collections of the three museums' libraries. The Center for the History of Collecting, also founded in 2007, is also part of the library. The Frick is a member of the International Consortium of Photo Archives (PHAROS), which operates a database of digitized artworks from the collections of 14 art museums."
Management -> Admission and attendance,"After the museum opened in 1935, it accommodated 5,000 visitors in its first week and 100,000 visitors in six months; at its peak, the museum saw 1,600 visitors in one day. At the end of 1936, the museum had seen 136,000 visitors, an average of 460 per day. In the 1970s, the museum recorded between 800 and 1,500 daily visitors. The number of annual visitors averaged 250,000 by the late 1990s, and annual attendance had increased to 350,000 by the early 2000s. The Frick Collection had a typical annual attendance of up to 300,000 in the 2010s, although it recorded 420,000 visitors in 2013 due to a particularly popular exhibit there. Shows in the 2010s attracted upwards of 4,000 daily visitors.
The Frick was originally free to enter but has charged an admission fee since 1976. The museum offers pay-as-you-wish hours one day of the week, in addition to free admission on First Fridays. Free admission is also provided to members of the Frick; students and staff of certain universities in New York City; certain demographic groups such as youth, senior citizens, and people with disabilities; and other groups such as military personnel. Frick Collection members receive several membership benefits, including a queue jump for exhibits. As part of the Culture Pass program, persons with cards from New York City's public libraries could also visit the museum for free with a Culture Pass, albeit with restrictions on the number of passes distributed. Until 2019, the Frick also sold the Connoisseur Pass, which also provided admission to the Morgan Library & Museum and Neue Galerie New York.
Children under the age of 10 are not allowed inside the museum; this restriction, intended to protect the paintings, has existed ever since the museum opened in 1935. As part of the same restriction, youths between 10 and 15 years old are allowed to enter only if there is an adult with them. The museum provides guided tours to small groups and school classes. Starting in the late 1990s, the museum provided complimentary audio guides to visitors; it later added the Bloomberg Connects smartphone app. The guides are offered in several languages and consist of handsets that provide information about the artworks and the subjects of each painting. The Frick also launched its website in the late 1990s; the website has been updated several times since then."
Management -> Funding,"Frick's will established a $15 million endowment fund for what would become the Frick Collection museum. At the Frick Collection Inc.'s 50th anniversary in 1970, the museum's endowment had grown to $40 million, and it received more than $1 million a year in income. By 1997, the Frick Collection had an operating budget of $10 million and an endowment of $170 million; this increased in the mid-2000s to a budget of $18.8 million and an endowment of $200 million. As of 2015, the museum had an endowment of $315 million."
Reception and commentary -> 20th-century commentary,"In 1912, before the collection had become a museum, Town & Country magazine wrote that Frick owned ""one of the greatest private collections of paintings in the world"". Art World magazine said in 1917 that the Frick House contained ""one of the most remarkable assemblies of old paintings in the United States belonging to a private collector"", rivaling the collection of the former Lenox Library on the same site. When the Frick Collection opened to the public in 1935, a critic for The New York Times wrote that the museum's ""informality in the distribution of works of art has even its amusing overtones"", while another commentator in The Christian Science Monitor regarded the collection as having ""long been recognized as one of the world's treasuries of art"". One of the few detractors was Lewis Mumford, who felt that the other objects in the house diverted visitors' attention from the visual art.
A Los Angeles Times critic wrote in 1941 that few other art collections in the U.S. ""so completely [exemplified] a great period in American art collecting"".  The New York Times wrote in 1969 that the Frick was one of the world's best ""residence-museums"" along with the Isabella Stewart Gardner Museum and the Wallace Collection. A critic for the Christian Science Monitor said in 1971 that the collection's paintings seemed to fit the building because Frick had ""to be sure he felt at home with them"". Another critic, writing for The Post-Standard of Syracuse, New York, in 1975, praised the museum's ""tranquility and superb decorative arts coupled with masterworks"".
John Russell of the Times said in 1981 that ""The Frick is loved for its unpushy ways, for the largesse of its hospitality and for the high quality of what it has to show."" In a review for the Christian Science Monitor the same year, Madeline Lee wrote that the museum was special because of its courtyard and reflecting pool; another reviewer for the same newspaper said ""The Frick is the only museum I know whose collection consists almost exclusively of great or nearly great art."" GQ magazine said that ""the most renowned—and probably best—combined house and art collection of a so-called 'robber baron' is that of Henry Clay Frick"". Bryan Miller of the Times wrote in 1987 that there were ""artistic gems in every room"", and Grace Glueck of the same paper called it ""the enclave of masterpieces"". A Los Angeles Times critic in 1990 said the Frick Collection ""represents the aristocratic aspirations of turn-of-the-century robber barons"". Another New York Times critic called the museum ""as frumpy and elegant as a dowager queen"", describing the quality of its collection and the Frick House. A Globe and Mail reviewer said the museum was extremely peaceful and was ""a more comfortable museum than most"" because it used to serve as a residence."
Reception and commentary -> 21st-century commentary,"A 2000 poll by Travel Holiday magazine ranked the Frick Collection as the third-best art museum in the U.S. Upon the museum's 75th anniversary in 2010, a Wall Street Journal critic wrote that, although the museum lacked major shows and had not undergone a high-profile renovation, it ""quietly attracts a steady stream of about 300,000 visitors each year who come to see one of the most extraordinary assemblages of fine and decorative arts in the world"". A reviewer for the Condé Nast Traveler wrote that the museum was ""exactly the right scale, everything in the collection is worth seeing, and can be viewed in an hour or less"", while a New Yorker writer said that ""you feel more than welcomed—you feel invited, like a family friend"" at the Frick House. A critic for the Daily Telegraph wrote in 2014 that the Frick was ""the best small museum in New York, perfect if you don't fancy dealing with a crush of people at MoMA or the Met"".
When the museum was temporarily relocated to 945 Madison Avenue, one critic wrote that the temporary building was ""an exercise in contrasts"" with the Frick House's decorations and that ""the vibe here is serious and meditative"". Another critic wrote for Vogue that the Frick Madison was a ""shock to the senses in every way"" but that ""the collection comes directly to the fore"" amid that building's bare walls. Writers for the Financial Times and the Wall Street Journal similarly said that the spartan setting helped highlight the collection itself."
